Code,Code LEN,Former Code,Local Authority,Country
E07000223,9,45UB,Adur,England
E07000026,9,16UB,Allerdale,England
E07000032,9,17UB,Amber Valley,England
E07000224,9,45UC,Arun,England
E07000170,9,37UB,Ashfield,England
E07000105,9,29UB,Ashford,England
E07000004,9,11UB,Aylesbury Vale,England
E07000200,9,42UB,Babergh,England
E09000002,9,00AB,Barking and Dagenham,England
E09000003,9,00AC,Barnet,England
E08000016,9,00CC,Barnsley,England
E07000027,9,16UC,Barrow-in-Furness,England
E07000066,9,22UB,Basildon,England
E07000084,9,24UB,Basingstoke and Deane,England
E07000171,9,37UC,Bassetlaw,England
E06000022,9,00HA,Bath and North East Somerset,England
E06000055,9,00KB,Bedford,England
E09000004,9,00AD,Bexley,England
E08000025,9,00CN,Birmingham,England
E07000129,9,31UB,Blaby,England
E06000008,9,00EX,Blackburn,England
E06000009,9,00EY,Blackpool,England
E07000033,9,17UC,Bolsover,England
E08000001,9,00BL,Bolton,England
E07000136,9,32UB,Boston,England
E06000028,9,00HN,Bournemouth,England
E06000036,9,00MA,Bracknell Forest,England
E08000032,9,00CX,Bradford,England
E07000067,9,22UC,Braintree,England
E07000143,9,33UB,Breckland,England
E09000005,9,00AE,Brent,England
E07000068,9,22UD,Brentwood,England
E06000043,9,00ML,Brighton and Hove,England
E06000023,9,00HB,Bristol,England
E07000144,9,33UC,Broadland,England
E09000006,9,00AF,Bromley,England
E07000234,9,47UB,Bromsgrove,England
E07000095,9,26UB,Broxbourne,England
E07000172,9,37UD,Broxtowe,England
E07000117,9,30UD,Burnley,England
E08000002,9,00BM,Bury,England
E08000033,9,00CY,Calderdale,England
E07000008,9,12UB,Cambridge,England
E09000007,9,00AG,Camden,England
E07000192,9,41UB,Cannock Chase,England
E07000106,9,29UC,Canterbury,England
E07000028,9,16UD,Carlisle,England
E07000069,9,22UE,Castle Point,England
E06000056,9,00KC,Central Bedfordshire,England
E07000130,9,31UC,Charnwood,England
E07000070,9,22UF,Chelmsford,England
E07000078,9,23UB,Cheltenham,England
E07000177,9,38UB,Cherwell,England
E06000049,9,00EQ,Cheshire East,England
E06000050,9,00EW,Cheshire West and Chester,England
E07000034,9,17UD,Chesterfield,England
E07000225,9,45UD,Chichester,England
E07000005,9,11UC,Chiltern,England
E07000118,9,30UE,Chorley,England
E07000048,9,19UC,Christchurch,England
"E09000001, E09000033",20,"00AA, 00BK","City of London, Westminster",England
E07000071,9,22UG,Colchester,England
E07000029,9,16UE,Copeland,England
E07000150,9,34UB,Corby,England
"E06000052, E06000053",20,"00HE, 00HF","Cornwall, Isles of Scilly",England
E07000079,9,23UC,Cotswold,England
E06000047,9,00EJ,County Durham,England
E06000019,9,00GA,County of Herefordshire,England
E08000026,9,00CQ,Coventry,England
E07000163,9,36UB,Craven,England
E07000226,9,45UE,Crawley,England
E09000008,9,00AH,Croydon,England
E07000096,9,26UC,Dacorum,England
E06000005,9,00EH,Darlington,England
E07000107,9,29UD,Dartford,England
E07000151,9,34UC,Daventry,England
E06000015,9,00FK,Derby,England
