OutLA,InLA,Age,Sex,Moves
E06000001,E06000002,18,M,5.134
E06000001,E06000002,18,F,7.7718
E06000001,E06000003,18,F,1.3043
E06000001,E06000004,18,M,3.8585
E06000001,E06000004,18,F,3.8727
E06000001,E06000013,18,F,1.3051
E06000001,E06000014,18,M,2.5059
E06000001,E06000014,18,F,2.5464
E06000001,E06000018,18,F,1.2877
E06000001,E06000042,18,F,1.2433
E06000001,E06000047,18,M,2.5183
E06000001,E06000047,18,F,5.1066
E06000001,E06000050,18,F,1.2159
E06000001,E06000057,18,F,1.2478
E06000001,E07000028,18,F,2.5095
E06000001,E07000030,18,F,1.2295
E06000001,E07000194,18,F,1.2157
E06000001,E08000003,18,M,2.4727
E06000001,E08000021,18,M,2.5117
E06000001,E08000021,18,F,3.822
E06000001,E08000024,18,M,2.5124
E06000001,E08000034,18,F,1.2879
E06000001,E08000035,18,F,6.3694
E06000001,E08000037,18,M,1.226
E06000001,E09000033,18,M,1.2605
E06000001,S92000003,18,F,0.6644
E06000002,E06000001,18,F,1.2598
E06000002,E06000003,18,M,3.8197
E06000002,E06000003,18,F,7.8079
E06000002,E06000004,18,M,6.5328
E06000002,E06000004,18,F,10.3036
E06000002,E06000005,18,M,1.2875
E06000002,E06000014,18,M,1.2728
E06000002,E06000014,18,F,1.2703
E06000002,E06000018,18,M,1.2902
E06000002,E06000018,18,F,1.2847
E06000002,E06000047,18,F,3.8212
E06000002,E07000012,18,M,1.2526
E06000002,E07000028,18,F,1.2519
E06000002,E07000099,18,M,1.2517
E06000002,E07000121,18,F,1.2598
E06000002,E07000144,18,F,1.2763
E06000002,E07000164,18,M,3.8227
E06000002,E07000171,18,F,1.2886
E06000002,E07000178,18,M,1.2495
E06000002,E07000209,18,M,1.2245
E06000002,E07000216,18,F,1.2273
E06000002,E07000227,18,F,1.2331
E06000002,E08000002,18,F,1.242
E06000002,E08000003,18,F,5.0021
E06000002,E08000018,18,M,1.2936
E06000002,E08000019,18,M,1.2843
E06000002,E08000019,18,F,3.8423
E06000002,E08000021,18,M,3.8272
E06000002,E08000021,18,F,6.3554
E06000002,E08000024,18,F,1.267
E06000002,E08000032,18,F,2.5905
E06000002,E08000035,18,M,3.8235
E06000002,E08000037,18,F,1.2508
E06000002,E09000021,18,F,1.245
E06000002,N92000002,18,F,1.1244
E06000002,S92000003,18,M,0.7673
E06000002,S92000003,18,F,0.592
E06000002,W06000002,18,F,1.2041
E06000003,E06000002,18,M,7.653
E06000003,E06000002,18,F,10.3459
E06000003,E06000004,18,M,2.5563
E06000003,E06000004,18,F,1.2889
E06000003,E06000005,18,F,1.2849
E06000003,E06000014,18,M,3.7355
E06000003,E06000014,18,F,3.8136
E06000003,E06000016,18,M,1.2505
E06000003,E06000020,18,F,1.2321
E06000003,E06000043,18,M,1.2145
E06000003,E07000030,18,F,1.2275
E06000003,E07000123,18,M,1.2236
E06000003,E07000135,18,M,1.247
E06000003,E07000168,18,F,3.7958
E06000003,E07000220,18,F,1.234
E06000003,E08000003,18,M,3.6859
E06000003,E08000012,18,M,2.5032
E06000003,E08000013,18,F,1.2225
E06000003,E08000021,18,M,3.7441
E06000003,E08000021,18,F,1.272
E06000003,E08000024,18,M,1.2484
E06000003,E08000024,18,F,1.2679
E06000003,E08000032,18,F,1.2962
E06000003,E08000034,18,M,1.2546
E06000003,E08000034,18,F,1.2859
E06000003,E08000035,18,M,1.2468
E06000003,E08000035,18,F,5.0874
E06000003,E08000037,18,M,2.4367
E06000003,E08000037,18,F,1.2517
E06000003,E09000010,18,F,1.2747
E06000003,E09000015,18,F,1.2811
E06000003,E09000019,18,F,1.235
E06000003,S92000003,18,F,1.1165
E06000003,W06000005,18,F,1.1866
