"Title_Number","Tenure","Property_Address","District","County","Region","Postcode","Multiple_Address_Indicator","Price_Paid","Proprietor_Name1","Company_Registration_No","Proprietorship_Category_1","CountryIncorporated1","Proprietor_1_Address_1","Proprietor_1_Address_2","Proprietor_1_Address_3","Proprietor_Name_2","Company_Registration_No_2","Proprietorship_Category_2","CountryIncorporated2","Proprietor_2_Address_1","Proprietor_2_Address_2","Proprietor_2_Address_3","Proprietor_Name_3","Company_Registration_No_3","Proprietorship_Category_3","CountryIncorporated3","Proprietor_3_Address_1","Proprietor_3_Address_2","Proprietor_3_Address_3","Proprietor_Name_4","Company_Registration_No_4","Proprietorship_Category_4","Country_Incorporated4","Proprietor_4_Address_1","Proprietor_4_Address_2","Proprietor_4_Address_3","Date_Proprietor_Added","Additional_Proprietor_Indicator","Latitude","Longitude"
"MM75790","Leasehold","Land adjoining Kensington House, 136 Suffolk Street, Birmingham (B1 1LN)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B1 1LN","N",,"SUFFOLK LEASEHOLD LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","15-16 Brook's Mews, London W1K 4DS",,,,,,,,,,,,,,,,,,,,,,,,"07-12-2016","N","0","0"
"MM78368","Leasehold","land on the north-west side of Bristol Road South, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"GRACEWELL PROPERTIES (BOURNVILLE) S.A.R.L.",,"Unlimited Company","LUXEMBOURG","19 Rue De Bilbourg, L-1273, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,"08-06-2017","N","0","0"
"MM10358","Leasehold","Store Room 4, I-Land, 41 Essex Street, Birmingham (B5 4TR)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 4TR","N",,"TRIWARD HOLDINGS LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","3/1A Parliament Lane, PO Box 453, Gibraltar","3 Coventry Innovation Village, Cheetah Road, Coventry CV1 2TL",,,,,,,,,,,,,,,,,,,,,,,"10-10-2012","N","52.473617","-1.8984481"
"MM16064","Leasehold","391 Turves Green, Birmingham and parking space (B31 4DB)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B31 4DB","N",,"ZAGORA MANAGEMENT LIMITED","102715","Limited Company or Public Limited Company","GIBRALTAR","391 Turves Green, Birmingham B31 4DB","Suite 31, Don House, 30-38 Main Street, Gibraltar",,,,,,,,,,,,,,,,,,,,,,,"22-02-2013","N","52.3945599995793","-1.97437750280141"
"MM29948","Freehold","Apartments 1 to 6, 63 Bishops Close, Erdington, Birmingham (B23 7AY) and Apartments 1 to 6, 46 Monastery Drive, Erdington, Birmingham (B23 7AX)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B23 7AY","N",,"ABACUS LAND 4 LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Third Floor, La Plaiderie Chambers, St Peter Port, Guernsey, GY1 1WG",,,,,,,,,,,,,,,,,,,,,,,,"08-06-2017","N","52.5151281264882","-1.86177313581402"
"MM30388","Leasehold","Flat 427, St Pauls Place, 40 St Pauls Square, Birmingham (B3 1FQ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 1FQ","N",,"SHEENE NOMINEE LIMITED",,"Limited Company or Public Limited Company","JERSEY","13, Castle Street, St. Helier, Jersey, JE4 5UT",,,"KEEGAN NOMINEE LIMITED",,"Limited Company or Public Limited Company","JERSEY","13, Castle Street, St. Helier, Jersey, JE4 5UT",,,,,,,,,,,,,,,,,"17-01-2014","N","52.4851387","-1.9071825"
"MM30418","Leasehold","Flat 429, St Pauls Place, 40 St Pauls Square, Birmingham (B3 1FQ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 1FQ","N","86207","SHEENE NOMINEE LIMITED",,"Limited Company or Public Limited Company","JERSEY","13 Castle Street, St Helier, Jersey, JE4 5UT",,,"KEEGAN NOMINEE LIMITED",,"Limited Company or Public Limited Company","JERSEY","13 Castle Street, St Helier, Jersey, JE4 5UT",,,,,,,,,,,,,,,,,"17-01-2014","N","52.4851387","-1.9071825"
"MM33866","Leasehold","Apartment 602, Devonshire House, 40 Great Charles Street Queensway, Birmingham (B3 2LX)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 2LX","N","90000","BONNA ELITE LTD",,"Limited Company or Public Limited Company","ANGUILLA","The Hallmark Building, Suite 227, Old Airport Road, The Valley, Anguilla, British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,,"07-04-2014","N","52.4825102","-1.9029419"
"MM37335","Freehold","Bristol Road Ambulance Station, Bristol Road, Birmingham (B5 7SN)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 7SN","N","7815000","ESTERA ADMINISTRATION (GUERNSEY) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Old Bank Chambers, La Grande Rue, St Martin's, Guernsey, GY4 6RT",,,"SAC NOMINEES LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Old Bank Chambers, La Grande Rue, St Martin's, Guernsey, GY4 6RT",,,,,,,,,,,,,,,,,"26-06-2014","N","52.4482094","-1.9221943"
"MM43320","Leasehold","The School Yard, High Street, Harborne, Birmingham (B17 9NJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B17 9NJ","N",,"BALAVAN LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","P O Box 393, Kingsway House, Havilland Street, St Peter Port, Guernsey, GY1 3FN",,,,,,,,,,,,,,,,,,,,,,,,"25-08-2016","N","52.4596654996435","-1.9461440289098"
