"","code","fullurl","ratings","F.F.score","patients","surgeryname","address","accepting","url","male","female"
"1",46210,NA,NA,"100%","5655","Woodbridge Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=46210","
                    GPs at this practice
                    5"," and 2 female GPs
                    
                "
"2",39116,NA,NA,"89%","4862","Oakwood Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39116","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                "
"3",40326,NA,NA,"NO DATA","1865","Hillview Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40326","
                    GPs at this practice
                    0"," and 1 female GP
                    
                "
"4",36132,NA,NA,"83%","4214","Supreme Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36132","        
            Additional information
            New evening and weekend GP appointments in Barnet.

Mondays to Fridays:

6.30pm – 8.00pm

Weekends and bank holidays:

8.00am – 8.00pm

Call on 020 3948 6809 to book your appointment

        ",NA
"5",42417,NA,NA,"83%","6072","Allerton Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42417","        
            Additional information
            The Out Of Hours Pharmacy will be able to give you advice & treatment.
        ",NA
"6",36543,NA,NA,"NO DATA","6540","St James Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36543","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                        Additional languages spoken
                        Egyptian
                    
                "
"7",35702,NA,NA,"NO DATA","4592","Perivale Medical Clinic",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35702","
                    GPs at this practice
                    0"," and 1 female GP
                    
                        Additional languages spoken
                        Arabic, Kurdish
                    
                "
"8",36421,NA,NA,"NO DATA","3570","The Tudor House Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36421","        
            Additional information
            Doors are closed between 1pm-3pm Mon-Friday (except Wednesdays)
        ",NA
"9",37545,NA,NA,"NO DATA","6127","Lichfield Grove Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37545","
                    GPs at this practice
                    0"," and 5 female GPs
                    
                "
"10",35312,NA,NA,"NO DATA","NO PATIENT NUMBERS LISTED","Dr Louise Miller",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35312","
                    GPs at this practice
                    0"," and 1 female GP
                    
                "
"11",38665,NA,NA,"71%","11897","Carlton House Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38665","
                    GPs at this practice
                    3"," and 3 female GPs
                    
                "
"12",40359,NA,NA,"81%","14828","Addison House - Haque Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40359","
                    GPs at this practice
                    4"," and 3 female GPs
                    
                "
"13",107495,NA,NA,"NO DATA","32848","Hunstanton Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=107495","        
            Additional information
            RECEPTION: The practice building may be closed from 1pm-2pm Tuesdays & Thursdays for staff training. DOCTORS SURGERIES: The time of individual doctors surgeries will vary and depend on their availability and the type of surgery they are providing.
        ",NA
"14",36793,NA,NA,"NO DATA","2645","Chepstow Gardens Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36793","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                "
"15",43862,NA,NA,"93%","13747","Meanwood Health Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=43862","        
            Additional information
            Please note the reception desk is open from 7.30 am Monday to Friday.  Phone lines open at 8.00 am.  Our same day appointments are not released until 8 am.  For routine appointments please telephone after 10 am.

Please note, we alternate our late nights between Wednesday and Thursday.
        ",NA
"16",43777,NA,NA,"80%","11503","The Southbroom Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=43777","
                    GPs at this practice
                    4"," and 2 female GPs
                    
                "
"17",38158,NA,NA,"NO DATA","15515","Finchampstead Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38158","        
            Additional information
            We are open on some Saturday mornings and we also offer some late evening appointments for patients who are unable to attend during our core opening hours, because of work committments. These are strictly by pre booked appointment only and the Reception is not open for any other matters during these times. Please telephone the Surgery on 0118 973 2678  to enquire about this service.

        ",NA
