"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","240","243","99%","31","33","94%","14","15","93%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"2","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","96","293","33%","0","0","-","0","0","-"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"3","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","137","459","30%","0","117","0%","16","23","70%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"4","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","256","256","100%","6","6","100%","6","6","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"5","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","332","354","94%","107","108","99%","82","83","99%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"6","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","187","220","85%","186","187","99%","71","71","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"7","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","3","272","1%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"8","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RAX","Nil return","Nil return","N/A","Nil return","Nil return","N/A","Nil return","Nil return","N/A"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"9","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","379","487","78%","49","49","100%","8","8","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"10","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","246","278","88%","15","17","88%","15","15","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
