"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","276","400","69%","29","38","replaced with 'Percentage.of.cases.further.assessed' in this CSV","7","7","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"2","AIREDALE NHS FOUNDATION TRUST","RCF","244","269","91%","18","21","replaced with 'Percentage.of.cases.further.assessed' in this CSV","1","1","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"3","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","340","383","89%","47","47","replaced with 'Percentage.of.cases.further.assessed' in this CSV","40","41","98%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"4","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","287","339","85%","-","-","replaced with 'Percentage.of.cases.further.assessed' in this CSV","-","-","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"5","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","384","469","82%","384","469","replaced with 'Percentage.of.cases.further.assessed' in this CSV","21","21","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"6","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","replaced with 'Percentage.of.cases.further.assessed' in this CSV","NIL RETURN","NIL RETURN","NIL RETURN"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"7","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","314","533","59%","24","41","replaced with 'Percentage.of.cases.further.assessed' in this CSV","7","13","54%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"8","BOLTON NHS FOUNDATION TRUST","RMC","318","323","98%","21","21","replaced with 'Percentage.of.cases.further.assessed' in this CSV","15","16","94%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"9","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","299","299","100%","1","1","replaced with 'Percentage.of.cases.further.assessed' in this CSV","1","1","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"10","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","334","349","96%","6","6","replaced with 'Percentage.of.cases.further.assessed' in this CSV","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
