"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","month","url"
"1","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM"," 322 "," 378 ","85%"," 38 "," 38 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"2","AIREDALE NHS FOUNDATION TRUST","RCF"," 237 "," 262 ","90%"," 20 "," 21 ","95%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"3","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK"," 291 "," 299 ","97%"," 44 "," 44 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"4","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF"," 252 "," 276 ","91%"," 47 "," 47 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"5","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD"," 463 "," 496 ","93%"," 463 "," 496 ","93%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"6","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU"," NIL RETURN "," NIL RETURN ","-"," NIL RETURN "," NIL RETURN ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"7","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL"," 483 "," 509 ","95%"," 42 "," 43 ","98%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"8","BOLTON NHS FOUNDATION TRUST","RMC"," 267 "," 278 ","96%"," 37 "," 37 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"9","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE"," 345 "," 345 ","100%"," 3 "," 3 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"10","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF"," 376 "," 378 ","99%"," 5 "," 5 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"11","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY"," 452 "," 490 ","92%"," 81 "," 82 ","99%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"12","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT"," 512 "," 524 ","98%"," 53 "," 56 ","95%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"13","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3"," 351 "," 371 ","95%"," 13 "," 13 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"14","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS"," 329 "," 330 ","100%"," 71 "," 71 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"15","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN"," 331 "," 331 ","100%"," 52 "," 52 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"16","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE"," 453 "," 454 ","100%"," 139 "," 139 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"17","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR"," 240 "," 252 ","95%"," 12 "," 12 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"18","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP"," 555 "," 607 ","91%"," 28 "," 30 ","93%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"19","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG"," 498 "," 650 ","77%"," 31 "," 69 ","45%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"20","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5"," 661 "," 730 ","91%"," 16 "," 16 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"21","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD"," 119 "," 261 ","46%"," 23 "," 23 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"22","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV"," 538 "," 545 ","99%"," 76 "," 84 ","90%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"23","FRIMLEY HEALTH NHS FOUNDATION TRUST","RDU"," 759 "," 781 ","97%"," 98 "," 100 ","98%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"24","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7"," 215 "," 238 ","90%"," 40 "," 40 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"25","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE"," 561 "," 632 ","89%"," 68 "," 68 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"26","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3"," 410 "," 441 ","93%"," 60 "," 60 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"27","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1"," 200 "," 208 ","96%"," 60 "," 66 ","91%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"28","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5"," 542 "," 552 ","98%"," 80 "," 88 ","91%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"29","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD"," 165 "," 172 ","96%"," 12 "," 12 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"30","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1"," 1,087 "," 1,257 ","86%"," 170 "," 182 ","93%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"31","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX"," NOT IN MONTH "," NOT IN MONTH ","-"," NOT IN MONTH "," NOT IN MONTH ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"32","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP"," 293 "," 320 ","92%"," 27 "," 30 ","90%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"33","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ"," 49 "," 84 ","58%"," 49 "," 49 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"34","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ"," 480 "," 488 ","98%"," 168 "," 178 ","94%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"35","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RAX","248","322","77%","31","38","82%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"36","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN"," 428 "," 462 ","93%"," 120 "," 120 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"37","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ"," 23 "," 23 ","100%"," 4 "," 4 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"38","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP"," NIL RETURN "," NIL RETURN ","-"," NIL RETURN "," NIL RETURN ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"39","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9"," 305 "," 323 ","94%"," 37 "," 41 ","90%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"40","MEDWAY NHS FOUNDATION TRUST","RPA"," 258 "," 286 ","90%"," 53 "," 58 ","91%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
