"","Org.name","Org.code","Number.to.whom.case.finding.is.applied","Number.of.emergency.admissions","Percentage.to.whom.case.finding.is.applied","Number.who.had.a.diagnostic.assessment","Number.with.positive.case.finding.question","Percentage.with.a..diagnostic.assessment","Number.of.cases.referred","Number.with.a.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url","revised"
"1","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","296","365","81%","21","22","95%","2","2","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"2","AIREDALE NHS FOUNDATION TRUST","RCF","176","201","88%","11","11","100%","5","5","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"3","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","151","486","31%","27","27","100%","17","17","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"4","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","295","320","92%","41","41","100%","5","5","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"5","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","444","487","91%","444","487","91%","45","45","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"6","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","RQ3","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"7","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","465","511","91%","54","55","98%","20","20","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"8","BOLTON NHS FOUNDATION TRUST","RMC","280","286","98%","29","29","100%","23","23","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"9","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","364","364","100%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"10","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","384","389","99%","3","3","100%","3","3","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
