"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","276","400","69%","29","38","76%","7","7","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"2","AIREDALE NHS FOUNDATION TRUST","RCF","244","269","91%","18","21","86%","1","1","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"3","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","340","383","89%","47","47","100%","40","41","98%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"4","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","287","339","85%","-","-","-","-","-","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"5","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","384","469","82%","384","469","82%","21","21","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"6","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"7","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","314","533","59%","24","41","59%","7","13","54%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"8","BOLTON NHS FOUNDATION TRUST","RMC","318","323","98%","21","21","100%","15","16","94%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"9","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","299","299","100%","1","1","100%","1","1","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"10","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","334","349","96%","6","6","100%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"11","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","461","494","93%","76","76","100%","45","45","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"12","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","578","602","96%","75","76","99%","72","73","99%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"13","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","330","367","90%","13","13","100%","11","11","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"14","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","139","143","97%","26","26","100%","26","26","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"15","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","342","343","100%","42","42","100%","29","29","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"16","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","254","254","100%","54","54","100%","47","47","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"17","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","503","504","100%","156","156","100%","80","80","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"18","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","278","301","92%","17","18","94%","13","14","93%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"19","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","587","672","87%","30","31","97%","9","12","75%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"20","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","473","525","90%","39","54","72%","38","53","72%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"21","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","692","751","92%","9","9","100%","5","5","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"22","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","135","287","47%","39","39","100%","27","27","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"23","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","667","669","100%","54","57","95%","58","58","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"24","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","327","328","100%","37","37","100%","31","31","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"25","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","260","277","94%","48","48","100%","19","19","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"26","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","572","651","88%","60","60","100%","15","15","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"27","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","434","512","85%","66","81","81%","39","39","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"28","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","182","202","90%","63","63","100%","28","30","93%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"29","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","408","549","74%","62","80","78%","7","20","35%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"30","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","148","161","92%","15","15","100%","12","12","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"31","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","816","1205","68%","122","136","90%","21","26","81%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"32","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","367","396","93%","36","39","92%","17","17","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"33","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","158","160","99%","158","160","99%","24","26","92%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"34","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","278","299","93%","35","38","92%","15","15","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"35","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","70","106","66%","55","70","79%","11","11","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"36","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","510","532","96%","86","88","98%","58","58","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"37","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","367","383","96%","85","85","100%","75","76","99%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"38","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","41","41","100%","3","3","100%","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"39","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","0","1","0%","0","0","-","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"40","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","289","310","93%","20","21","95%","13","13","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"41","MEDWAY NHS FOUNDATION TRUST","RPA","297","327","91%","67","70","96%","63","63","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"42","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","241","252","96%","30","30","100%","30","30","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"43","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","172","188","91%","21","22","95%","18","19","95%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"44","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","161","289","56%","14","18","78%","9","11","82%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"45","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"46","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","597","637","94%","45","48","94%","45","45","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"47","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","424","424","100%","30","30","100%","10","10","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"48","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","478","489","98%","32","32","100%","27","27","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"49","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","373","376","99%","61","67","91%","1","1","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"50","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","12","12","100%","1","1","100%","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"51","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","515","567","91%","284","284","100%","69","69","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"52","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"53","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","8","10","80%","2","2","100%","2","2","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
