"Source Url","Address 1","Locality","Region","Postcode"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=103651","Upton Lea, The Countess Of Chester Health Park, Liverpool Road","Chester","Cheshire","CH2 1BQ"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=105069","Bramblys Drive","Basingstoke","Hampshire","RG21 8UN"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=105181","Osborn Road","Fareham","","PO16 7ES"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=105300","Church Street","Bridgwater","Somerset","TA6 5AT"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=105302","Wellsprings Road","Taunton","Somerset","TA2 7PQ"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=105309","Summerlands, Preston Rd","Yeovil","Somerset","BA20 2BN"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=105871","Abbotts Street, Bloxwich","Walsall","West Midlands","WS3 3BW"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=107465","Carholme Court, St George's Site, Long Leys Road","Lincoln","Lincolnshire","LN1 1FS"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=112416","SATRA House, Rockingham Road","Kettering","Northamptonshire","NN16 9JH"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=113020","Off Redesmere Close, Victoria Road","Macclesfield","Cheshire","SK10 3SJ"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=113819","45 Delamere Street","Crewe","Cheshire","CW1 2ER"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=113821","Stein Centre, St Catherines Hospital, Derby Road, Tranmere","Wirral","Cheshire","CH42 0LQ"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=113825","Breightmet Fold Lane","Bolton","Lancashire","BL2 6NT"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=113826","85/101 Sankey Street","Warrington","Cheshire","WA1 1SR"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=115325","St Pauls Medical Centre, Swindon Road","Cheltenham","Gloucestershire","GL50 4BW"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=117145","Severn Fields Health Village, Sundorne Road","Shrewsbury","Shropshire","SY1 4RQ"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=124630","120 Hotblack Road","","","NR2 4HN"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=129929","North Station Road","Colchester","Essex","CO1 1RB"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=2845","North Street","Horsham","West Sussex","RH12 1RJ"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=3014","The Ridge","St. Leonards-on-Sea","East Sussex","TN37 7PT"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=32943","Priory Park, Glastonbury Rd","Wells","","BA5 1TJ"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=33011","Goodwins Road","","King's Lynn","PE30 5PD"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=46111","St George's Community Health Centre, Winter Street","Sheffield","","S3 7ND"
"https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=99270","Erleigh Road, 25 Erleigh Road","Reading","Berkshire","RG1 5LR"
