"","INSTID","UKPRN","HE provider","Total full-time first degree young entrants","percnolongerinHE","benchmark","Standard deviation (%)","+/-","difference"
"75","0202","10004048","London Metropolitan University",1400,"20.6","12.2","0.56999999999999995","-",-8.4
"167","0196","10007114","University of the Highlands and Islands",265,"18.5","10.8","1.34","-",-7.7
"15","0049","10006841","The University of Bolton",585,"18.399999999999999","12","0.98","-",-6.4
"168","0105","10007800","The University of the West of Scotland",1960,"15.5","10.3","0.49","-",-5.2
"160","0100","10005337","Queen Margaret University, Edinburgh",550,"11.7","7.1","1.03","-",-4.6
"30","0115","10001478","The City University",1530,"11.2","7.2","0.63","-",-4
"82","0067","10004351","Middlesex University",2550,"14.1","10.3","0.49","-",-3.8
"99","0031","10007776","Roehampton University",1545,"12.1","8.3000000000000007","0.65","-",-3.8
"131","0085","10007166","The University of Wolverhampton",2520,"13.6","10.7","0.46",NA,-2.9
"10","0127","10007760","Birkbeck College",200,"16.7","13.8","1.04",NA,-2.9
"5","0047","10000291","Anglia Ruskin University",2720,"12.4","9.6999999999999993","0.44",NA,-2.7
"158","0171","10007764","Heriot-Watt University",1450,"9","6.3","0.63",NA,-2.7
"118","0014","10037449","University of St Mark and St John",540,"12.2","9.6999999999999993","1.03",NA,-2.5
"53","0205","10007765","Heythrop College",95,"8.9","6.6","2.34",NA,-2.3
"128","0080","10006566","The University of West London",1130,"13.1","10.8","0.66",NA,-2.3
"76","0076","10004078","London South Bank University",1410,"13.4","11.2","0.52",NA,-2.2
"142","0087","10007833","Glyndŵr University",415,"14.2","12.1","0.9",NA,-2.1
"119","0210","10014001","University Campus Suffolk",455,"12.4","10.4","0.86",NA,-2
"175","0185","10007807","University of Ulster",3985,"9.9","8.1","0.38",NA,-1.8
"28","0011","10007848","University of Chester",2350,"9.6","7.8","0.49",NA,-1.8
"56","0132","10003270","Imperial College of Science, Technology and Medicine",1200,"4","2.2000000000000002","0.6",NA,-1.8
"96","0139","10007775","Queen Mary University of London",2345,"6.5","4.7","0.47",NA,-1.8
"72","0024","10007162","University of the Arts, London",1910,"9.5","7.8","0.47",NA,-1.7
"173","0194","10008026","St Mary's University College",240,"6.3","4.5999999999999996","1.51",NA,-1.7
