FINANCIAL_YEAR,YEAR_ENDING,YEAR_QUARTER,FRS_NAME,INCIDENT_TYPE,Deliberate fires
2010/11, ,"2010/11 Jan, Feb, Mar",Cleveland,Dwellings,15
2010/11, ,"2010/11 Jan, Feb, Mar",Durham,Dwellings,11
2010/11, ,"2010/11 Jan, Feb, Mar",Northumberland,Dwellings,5
2010/11, ,"2010/11 Jan, Feb, Mar",Tyne & Wear,Dwellings,29
2010/11, ,"2010/11 Jan, Feb, Mar",Cumbria,Dwellings,8
2010/11, ,"2010/11 Jan, Feb, Mar",Cheshire,Dwellings,20
2010/11, ,"2010/11 Jan, Feb, Mar",Greater Manchester,Dwellings,89
2010/11, ,"2010/11 Jan, Feb, Mar",Lancashire,Dwellings,42
2010/11, ,"2010/11 Jan, Feb, Mar",Merseyside,Dwellings,64
2010/11, ,"2010/11 Jan, Feb, Mar",Humberside,Dwellings,26
2010/11, ,"2010/11 Jan, Feb, Mar",North Yorkshire,Dwellings,14
2010/11, ,"2010/11 Jan, Feb, Mar",South Yorkshire,Dwellings,43
2010/11, ,"2010/11 Jan, Feb, Mar",West Yorkshire,Dwellings,48
2010/11, ,"2010/11 Jan, Feb, Mar",Lincolnshire,Dwellings,12
2010/11, ,"2010/11 Jan, Feb, Mar",Derbyshire,Dwellings,19
2010/11, ,"2010/11 Jan, Feb, Mar",Northamptonshire,Dwellings,10
2010/11, ,"2010/11 Jan, Feb, Mar",Leicestershire,Dwellings,15
2010/11, ,"2010/11 Jan, Feb, Mar",Nottinghamshire,Dwellings,22
2010/11, ,"2010/11 Jan, Feb, Mar",Hereford & Worcester,Dwellings,11
2010/11, ,"2010/11 Jan, Feb, Mar",Shropshire,Dwellings,9
2010/11, ,"2010/11 Jan, Feb, Mar",West Midlands,Dwellings,100
2010/11, ,"2010/11 Jan, Feb, Mar",Warwickshire,Dwellings,5
2010/11, ,"2010/11 Jan, Feb, Mar",Staffordshire,Dwellings,26
2010/11, ,"2010/11 Jan, Feb, Mar",Bedfordshire,Dwellings,12
2010/11, ,"2010/11 Jan, Feb, Mar",Cambridgeshire,Dwellings,14
2010/11, ,"2010/11 Jan, Feb, Mar",Essex,Dwellings,23
2010/11, ,"2010/11 Jan, Feb, Mar",Hertfordshire,Dwellings,11
2010/11, ,"2010/11 Jan, Feb, Mar",Norfolk,Dwellings,9
2010/11, ,"2010/11 Jan, Feb, Mar",Suffolk,Dwellings,10
2010/11, ,"2010/11 Jan, Feb, Mar",Greater London,Dwellings,121
2010/11, ,"2010/11 Jan, Feb, Mar",Greater London,Dwellings,70
2010/11, ,"2010/11 Jan, Feb, Mar",Buckinghamshire,Dwellings,10
2010/11, ,"2010/11 Jan, Feb, Mar",East Sussex,Dwellings,10
2010/11, ,"2010/11 Jan, Feb, Mar",Hampshire,Dwellings,25
2010/11, ,"2010/11 Jan, Feb, Mar",Kent,Dwellings,29
2010/11, ,"2010/11 Jan, Feb, Mar",Surrey,Dwellings,4
2010/11, ,"2010/11 Jan, Feb, Mar",Isle Of Wight,Dwellings,1
2010/11, ,"2010/11 Jan, Feb, Mar",West Sussex,Dwellings,10
2010/11, ,"2010/11 Jan, Feb, Mar",Oxfordshire,Dwellings,2
2010/11, ,"2010/11 Jan, Feb, Mar",Berkshire,Dwellings,8
2010/11, ,"2010/11 Jan, Feb, Mar",Avon,Dwellings,16
2010/11, ,"2010/11 Jan, Feb, Mar",Cornwall,Dwellings,9
2010/11, ,"2010/11 Jan, Feb, Mar",Gloucestershire,Dwellings,9
2010/11, ,"2010/11 Jan, Feb, Mar",Dorset & Wiltshire,Dwellings,8
2010/11, ,"2010/11 Jan, Feb, Mar",Dorset & Wiltshire,Dwellings,9
2010/11, ,"2010/11 Jan, Feb, Mar",Devon & Somerset,Dwellings,21
2010/11, ,"2010/11 Apr, May, Jun",Cleveland,Dwellings,23
2010/11, ,"2010/11 Apr, May, Jun",Durham,Dwellings,12
2010/11, ,"2010/11 Apr, May, Jun",Northumberland,Dwellings,7
2010/11, ,"2010/11 Apr, May, Jun",Tyne & Wear,Dwellings,49
2010/11, ,"2010/11 Apr, May, Jun",Cumbria,Dwellings,5
2010/11, ,"2010/11 Apr, May, Jun",Cheshire,Dwellings,17
2010/11, ,"2010/11 Apr, May, Jun",Greater Manchester,Dwellings,126
2010/11, ,"2010/11 Apr, May, Jun",Lancashire,Dwellings,69
2010/11, ,"2010/11 Apr, May, Jun",Merseyside,Dwellings,89
2010/11, ,"2010/11 Apr, May, Jun",Humberside,Dwellings,27
2010/11, ,"2010/11 Apr, May, Jun",North Yorkshire,Dwellings,9
2010/11, ,"2010/11 Apr, May, Jun",South Yorkshire,Dwellings,45
2010/11, ,"2010/11 Apr, May, Jun",West Yorkshire,Dwellings,77
2010/11, ,"2010/11 Apr, May, Jun",Lincolnshire,Dwellings,12
2010/11, ,"2010/11 Apr, May, Jun",Derbyshire,Dwellings,19
2010/11, ,"2010/11 Apr, May, Jun",Northamptonshire,Dwellings,17
2010/11, ,"2010/11 Apr, May, Jun",Leicestershire,Dwellings,20
2010/11, ,"2010/11 Apr, May, Jun",Nottinghamshire,Dwellings,30
2010/11, ,"2010/11 Apr, May, Jun",Hereford & Worcester,Dwellings,9
2010/11, ,"2010/11 Apr, May, Jun",Shropshire,Dwellings,7
2010/11, ,"2010/11 Apr, May, Jun",West Midlands,Dwellings,99
