School Name,LA Name,LA,Estab,URN,Number of Pupils (FTE),FSM Band,Region,Type of School,Phase,KS2 - % achieving level 4 in 2014,KS4 - % Achieving 5 A*-C inc. English and Maths in 2014,Pre-16 School Budget Share,16-19 School Budget Share (1),Pupil Premium,Education Services Grant,Other,Other DfE grants (Revenue),SEN,Other income (LA & other Government grants),Government source (non-grant),Academies,Non- Government,"Total Grant Funding

£000",Income from facilities and services,Other self-generated income - revenue,Donations and/or voluntary funds - revenue,Investment Income,"Total Self-Generated Income

£000","Total Income

£000","Teaching Staff

£000",(minus) Receipts from supply teacher insurance claims,Supply teaching staff,Supply teacher insurance,Agency supply teaching staff,"Total Supply Staff

£000","Education Support Staff

£000",Premises Staff,Maintainence of Premises,Cleaning,Water and Sewerage,Other Occupation costs,"Total Premises

£000",Administrative and clerical staff,Administrative Supplies - non educational,Legal & Professional,Auditor Costs,"Total Back Office

£000",(minus) Income from catering,Catering Staff,Catering Supplies,"Total Catering

£000",Other Staff,Indirect Employee Expenses,Staff Development and Training,Staff Related Insurance,"Total Other Staff Costs

£000","Energy

£000","Learning Resources (not ICT Equipment)

£000","ICT Learning resources

£000","Educational Consultancy

£000",Rent and Rates,Examination Fees,Other Insurance Premiums,Special Facilities,Interest Charges for Loan and Bank,Other,Direct revenue financing (Revenue contributions to capital),PFI Charges,"Total Other Expenditures

£000","Total Expenditure 

£000"
Al Madinah School,Derby,831,4000,138776,160,Medium,East Midlands,Free Schools,State-funded secondary,0%,0%,"1,064",0,101,31,670,0,0,0,0,0,0,"1,866",105,93,0,0,198,"2,064",438,0,0,0,90,90,200,65,36,11,13,0,125,102,185,59,58,404,-8,0,0,-8,0,0,11,0,11,81,74,3,40,24,0,30,242,1,0,2,0,299,"1,757"
Woodlands School,Derby,831,5414,137911,1270,Low,East Midlands,Academy Converter,State-funded secondary,-,63%,"4,277",0,197,173,"1,130",0,128,0,0,0,34,"5,939",163,37,201,2,403,"6,342","3,413",0,0,0,95,95,524,331,214,24,31,0,600,283,417,13,14,727,-128,32,29,-67,123,0,17,0,140,149,108,0,120,22,118,52,208,0,0,50,0,450,"6,259"
Lees Brook Community Sports College,Derby,831,4181,137420,1144,Low,East Midlands,Academy Converter,State-funded secondary,-,46%,"4,500",0,286,0,"1,207",0,0,102,0,0,112,"6,207",59,12,0,2,73,"6,280","3,716",0,15,0,250,265,782,235,144,7,0,51,437,515,64,39,14,632,-156,127,120,91,19,0,0,0,19,62,503,0,0,54,0,30,0,0,0,427,0,511,"7,018"
West Park School,Derby,831,5412,136634,1248,Low,East Midlands,Academy Converter,State-funded secondary,-,77%,"5,247",0,290,160,1,15,0,36,0,0,0,"5,749",14,199,0,3,216,"5,965","3,538",0,0,0,27,27,642,323,190,25,6,0,544,348,122,38,13,521,0,0,49,49,73,0,30,0,103,70,201,50,0,21,103,59,108,2,0,-20,0,273,"6,018"
Chellaston Academy,Derby,831,5402,136360,1692,Low,East Midlands,Academy Converter,State-funded secondary,-,70%,"6,724",0,220,218,215,35,85,14,0,41,485,"8,037",30,0,8,3,41,"8,078","5,396",0,17,0,0,17,745,277,108,10,25,35,455,300,100,9,6,415,0,-4,14,10,35,0,7,0,42,129,630,74,72,39,177,44,0,2,27,5,0,294,"8,279"
St John Fisher Catholic Primary School - Alvaston,Derby,831,2008,138514,225,Medium,East Midlands,Academy Sponsor Led,State-funded primary,72%,-,798,0,99,27,97,0,8,5,0,0,0,"1,034",0,18,0,1,19,"1,053",421,0,3,0,21,24,139,31,20,3,4,0,58,80,19,77,9,185,-15,0,0,-15,17,0,6,0,23,12,8,5,6,2,0,18,78,0,0,0,0,98,964
St Mary's Catholic High School - Chesterfield,Derbyshire,830,5413,138470,1266,Low,East Midlands,Academy Converter,State-funded secondary,-,70%,"5,553",0,147,178,58,11,107,2,0,0,0,"6,056",31,330,49,8,418,"6,474","4,235",0,38,0,0,38,636,231,88,9,16,0,344,380,164,40,6,590,-353,210,231,88,20,0,9,0,29,107,418,0,4,31,127,49,29,3,1,68,0,308,"6,797"
Redhill Foundation Primary School,Derbyshire,830,5206,137897,217,Low,East Midlands,Academy Converter,State-funded primary,100%,-,713,0,18,30,54,0,40,0,0,0,0,855,1,3,16,1,21,876,507,0,6,0,0,6,141,26,15,2,3,7,53,42,10,0,5,57,-2,0,34,32,16,2,4,13,35,12,46,13,3,3,0,0,0,0,0,5,0,8,913
Netherthorpe School,Derbyshire,830,5400,137902,1108,Low,East Midlands,Academy Converter,State-funded secondary,-,53%,"5,041",0,272,154,140,0,116,0,0,0,0,"5,723",11,229,32,1,273,"5,996","3,461",0,73,0,73,146,505,177,85,13,14,0,289,422,160,0,11,593,0,7,86,93,57,0,20,0,77,87,267,203,0,71,103,139,184,1,0,-15,0,483,"6,204"
Bolsover School The,Derbyshire,830,4197,138836,762,Medium,East Midlands,Academy Converter,State-funded secondary,-,43%,"4,487",0,0,0,258,0,101,74,0,0,0,"4,920",14,151,0,3,168,"5,088","2,492",0,110,0,173,283,489,0,538,0,0,0,538,530,399,0,12,941,0,0,2,2,21,0,0,0,21,0,338,0,7,43,0,27,0,1,0,9,0,80,"5,191"
