Filght no. full,Planefinder URL,Seats,Seats as num
FR3105,https://planefinder.net/data/flight/FR3105,#REF!,#REF!
FR2918,https://planefinder.net/data/flight/FR2918,Seats 189,189
FR6348,https://planefinder.net/data/flight/FR6348,Seats 189,189
FR245,https://planefinder.net/data/flight/FR245,Seats 189,189
FR8141,https://planefinder.net/data/flight/FR8141,Seats 189,189
FR2083,https://planefinder.net/data/flight/FR2083,#REF!,#REF!
FR4863,https://planefinder.net/data/flight/FR4863,#REF!,
FR4341,https://planefinder.net/data/flight/FR4341,#REF!,
FR1389,https://planefinder.net/data/flight/FR1389,#REF!,
FR8496,https://planefinder.net/data/flight/FR8496,#REF!,
FR509,https://planefinder.net/data/flight/FR509,#REF!,
FR2917,https://planefinder.net/data/flight/FR2917,Seats 189,
FR4862,https://planefinder.net/data/flight/FR4862,Seats 189,
FR201,https://planefinder.net/data/flight/FR201,Seats 189,
FR1388,https://planefinder.net/data/flight/FR1388,#REF!,
FR200,https://planefinder.net/data/flight/FR200,#REF!,
FR22,https://planefinder.net/data/flight/FR22,#REF!,
FR554,https://planefinder.net/data/flight/FR554,#REF!,
FR3104,https://planefinder.net/data/flight/FR3104,#REF!,
FR508,https://planefinder.net/data/flight/FR508,#REF!,
FR7473,https://planefinder.net/data/flight/FR7473,#REF!,
FR8140,https://planefinder.net/data/flight/FR8140,#REF!,
FR2094,https://planefinder.net/data/flight/FR2094,#REF!,
FR124,https://planefinder.net/data/flight/FR124,#REF!,
FR8592,https://planefinder.net/data/flight/FR8592,#REF!,
FR805,https://planefinder.net/data/flight/FR805,#REF!,
FR8445,https://planefinder.net/data/flight/FR8445,#REF!,
FR2295,https://planefinder.net/data/flight/FR2295,#REF!,
FR2352,https://planefinder.net/data/flight/FR2352,#REF!,
FR1788,https://planefinder.net/data/flight/FR1788,,
FR32,https://planefinder.net/data/flight/FR32,,
FR7973,https://planefinder.net/data/flight/FR7973,,
FR2436,https://planefinder.net/data/flight/FR2436,,
FR7117,https://planefinder.net/data/flight/FR7117,,
FR281,https://planefinder.net/data/flight/FR281,,
FR5994,https://planefinder.net/data/flight/FR5994,,
FR5836,https://planefinder.net/data/flight/FR5836,,
FR5993,https://planefinder.net/data/flight/FR5993,,
FR2082,https://planefinder.net/data/flight/FR2082,,
FR3021,https://planefinder.net/data/flight/FR3021,,
FR555,https://planefinder.net/data/flight/FR555,,
FR5835,https://planefinder.net/data/flight/FR5835,,
FR9106,https://planefinder.net/data/flight/FR9106,,
FR9107,https://planefinder.net/data/flight/FR9107,,
FR2672,https://planefinder.net/data/flight/FR2672,,
FR2642,https://planefinder.net/data/flight/FR2642,,
FR8868,https://planefinder.net/data/flight/FR8868,,
FR372,https://planefinder.net/data/flight/FR372,,
FR2372,https://planefinder.net/data/flight/FR2372,,
FR1905,https://planefinder.net/data/flight/FR1905,,
FR2466,https://planefinder.net/data/flight/FR2466,,
FR5992,https://planefinder.net/data/flight/FR5992,,
FR5991,https://planefinder.net/data/flight/FR5991,,
FR5462,https://planefinder.net/data/flight/FR5462,,
FR5463,https://planefinder.net/data/flight/FR5463,,
FR5317,https://planefinder.net/data/flight/FR5317,,
FR5318,https://planefinder.net/data/flight/FR5318,,
FR2361,https://planefinder.net/data/flight/FR2361,,
FR4111,https://planefinder.net/data/flight/FR4111,,
FR5505,https://planefinder.net/data/flight/FR5505,,
FR5506,https://planefinder.net/data/flight/FR5506,,
FR5831,https://planefinder.net/data/flight/FR5831,,
FR5832,https://planefinder.net/data/flight/FR5832,,
FR5531,https://planefinder.net/data/flight/FR5531,,
FR5532,https://planefinder.net/data/flight/FR5532,,
FR8556,https://planefinder.net/data/flight/FR8556,,
FR8557,https://planefinder.net/data/flight/FR8557,,
FR5774,https://planefinder.net/data/flight/FR5774,,
FR5773,https://planefinder.net/data/flight/FR5773,,
FR1901,https://planefinder.net/data/flight/FR1901,,
FR1902,https://planefinder.net/data/flight/FR1902,,
FR6374,https://planefinder.net/data/flight/FR6374,,
FR6375,https://planefinder.net/data/flight/FR6375,,
FR9111,https://planefinder.net/data/flight/FR9111,,
FR9112,https://planefinder.net/data/flight/FR9112,,
FR6881,https://planefinder.net/data/flight/FR6881,,
FR6882,https://planefinder.net/data/flight/FR6882,,
FR9106,https://planefinder.net/data/flight/FR9106,,
FR9107,https://planefinder.net/data/flight/FR9107,,
FR2093,https://planefinder.net/data/flight/FR2093,,
FR3734,https://planefinder.net/data/flight/FR3734,,
FR3733,https://planefinder.net/data/flight/FR3733,,
FR7458,https://planefinder.net/data/flight/FR7458,,
FR7458,https://planefinder.net/data/flight/FR7458,,
FR9045,https://planefinder.net/data/flight/FR9045,,
FR8495,https://planefinder.net/data/flight/FR8495,,
FR5192,https://planefinder.net/data/flight/FR5192,,
FR2105,https://planefinder.net/data/flight/FR2105,,
FR9428,https://planefinder.net/data/flight/FR9428,,
FR506,https://planefinder.net/data/flight/FR506,,
FR7000,https://planefinder.net/data/flight/FR7000,,
FR4891,https://planefinder.net/data/flight/FR4891,,
FR7060,https://planefinder.net/data/flight/FR7060,,
FR1885,https://planefinder.net/data/flight/FR1885,,
FR2932,https://planefinder.net/data/flight/FR2932,,
FR5993,https://planefinder.net/data/flight/FR5993,,
FR2528,https://planefinder.net/data/flight/FR2528,,
FR8344,https://planefinder.net/data/flight/FR8344,,
FR4586,https://planefinder.net/data/flight/FR4586,,
FR8542,https://planefinder.net/data/flight/FR8542,,
FR2283,https://planefinder.net/data/flight/FR2283,,
FR2672,https://planefinder.net/data/flight/FR2672,,
FR3717,https://planefinder.net/data/flight/FR3717,,
FR9044,https://planefinder.net/data/flight/FR9044,,
FR8496,https://planefinder.net/data/flight/FR8496,,
FR5193,https://planefinder.net/data/flight/FR5193,,
FR2106,https://planefinder.net/data/flight/FR2106,,
FR9429,https://planefinder.net/data/flight/FR9429,,
FR507,https://planefinder.net/data/flight/FR507,,
FR7010,https://planefinder.net/data/flight/FR7010,,
FR4892,https://planefinder.net/data/flight/FR4892,,
FR7070,https://planefinder.net/data/flight/FR7070,,
FR1884,https://planefinder.net/data/flight/FR1884,,
FR2931,https://planefinder.net/data/flight/FR2931,,
FR5994,https://planefinder.net/data/flight/FR5994,,
FR2529,https://planefinder.net/data/flight/FR2529,,
FR8343,https://planefinder.net/data/flight/FR8343,,
FR4587,https://planefinder.net/data/flight/FR4587,,
FR8543,https://planefinder.net/data/flight/FR8543,,
FR2284,https://planefinder.net/data/flight/FR2284,,
FR2673,https://planefinder.net/data/flight/FR2673,,
FR3718,https://planefinder.net/data/flight/FR3718,,
FR6341,https://planefinder.net/data/flight/FR6341,,
FR9045,https://planefinder.net/data/flight/FR9045,,
FR1135,https://planefinder.net/data/flight/FR1135,,
FR8495,https://planefinder.net/data/flight/FR8495,,
FR4113,https://planefinder.net/data/flight/FR4113,,
FR4197,https://planefinder.net/data/flight/FR4197,,
FR201,https://planefinder.net/data/flight/FR201,,
FR6316,https://planefinder.net/data/flight/FR6316,,
FR26,https://planefinder.net/data/flight/FR26,,
FR9428,https://planefinder.net/data/flight/FR9428,,
FR211,https://planefinder.net/data/flight/FR211,,
FR7000,https://planefinder.net/data/flight/FR7000,,
FR4891,https://planefinder.net/data/flight/FR4891,,
FR7060,https://planefinder.net/data/flight/FR7060,,
FR1885,https://planefinder.net/data/flight/FR1885,,
FR5993,https://planefinder.net/data/flight/FR5993,,
FR5317,https://planefinder.net/data/flight/FR5317,,
FR8344,https://planefinder.net/data/flight/FR8344,,
FR7474,https://planefinder.net/data/flight/FR7474,,
FR2672,https://planefinder.net/data/flight/FR2672,,
FR972,https://planefinder.net/data/flight/FR972,,
FR1374,https://planefinder.net/data/flight/FR1374,,
FR6342,https://planefinder.net/data/flight/FR6342,,
FR9044,https://planefinder.net/data/flight/FR9044,,
FR1134,https://planefinder.net/data/flight/FR1134,,
FR8496,https://planefinder.net/data/flight/FR8496,,
FR4114,https://planefinder.net/data/flight/FR4114,,
FR4198,https://planefinder.net/data/flight/FR4198,,
FR200,https://planefinder.net/data/flight/FR200,,
FR6315,https://planefinder.net/data/flight/FR6315,,
FR29,https://planefinder.net/data/flight/FR29,,
FR9429,https://planefinder.net/data/flight/FR9429,,
FR212,https://planefinder.net/data/flight/FR212,,
FR7010,https://planefinder.net/data/flight/FR7010,,
FR4892,https://planefinder.net/data/flight/FR4892,,
FR7070,https://planefinder.net/data/flight/FR7070,,
FR1884,https://planefinder.net/data/flight/FR1884,,
FR5994,https://planefinder.net/data/flight/FR5994,,
FR5318,https://planefinder.net/data/flight/FR5318,,
FR8343,https://planefinder.net/data/flight/FR8343,,
FR7475,https://planefinder.net/data/flight/FR7475,,
FR2673,https://planefinder.net/data/flight/FR2673,,
FR973,https://planefinder.net/data/flight/FR973,,
FR1375,https://planefinder.net/data/flight/FR1375,,
FR6341,https://planefinder.net/data/flight/FR6341,,
FR9045,https://planefinder.net/data/flight/FR9045,,
FR9162,https://planefinder.net/data/flight/FR9162,,
FR8495,https://planefinder.net/data/flight/FR8495,,
FR2990,https://planefinder.net/data/flight/FR2990,,
FR4199,https://planefinder.net/data/flight/FR4199,,
FR1055,https://planefinder.net/data/flight/FR1055,,
FR6055,https://planefinder.net/data/flight/FR6055,,
FR26,https://planefinder.net/data/flight/FR26,,
FR46,https://planefinder.net/data/flight/FR46,,
FR3978,https://planefinder.net/data/flight/FR3978,,
FR7000,https://planefinder.net/data/flight/FR7000,,
FR4891,https://planefinder.net/data/flight/FR4891,,
FR7060,https://planefinder.net/data/flight/FR7060,,
FR1885,https://planefinder.net/data/flight/FR1885,,
FR2096,https://planefinder.net/data/flight/FR2096,,
FR5993,https://planefinder.net/data/flight/FR5993,,
FR5317,https://planefinder.net/data/flight/FR5317,,
FR9135,https://planefinder.net/data/flight/FR9135,,
