donoraddress,index,donationdesc
"Cooper House, 205 Hook Road, Chessington KT9 1EA",1russell-moyle_lloyd.htm,å£611.06 reimbursement of car hire costs during the General Election
"Winkfield Road, Ascot SL5 7HX",1robertson_laurence.htm,"a metal badge entitling the bearer to admittance to certain horse racing meetings in the UK during 2016. The badge is not available for purchase but its estimated value is between å£0 - å£1,000, depending on usage."
"Winkfield Road, Ascot SL5 7HX",3robertson_laurence.htm,"a metal badge entitling the bearer to admittance to certain horse racing meetings in the UK during 2017. The badge is not available for purchase but its estimated value is between å£0 - å£1,000, depending on usage."
"Roadway House, Bretton Way, Bretton, Peterborough PE3 8DD",1elphicke_charlie.htm,"secondment of parliamentary researcher from 17 January 2017 to 17 January 2018, value å£22,577"
"c/o Munro Wright and Wasbrough LLP, 7-8 Great James Street, London WC1N 3DF",3boles_nick.htm,"å£20,000 to support the research and writing of a forthcoming book"
private,1boles_nick.htm,"å£10,000 to support the research and writing of a forthcoming book"
private,2boles_nick.htm,"å£5,000 to support the research and writing of a forthcoming book"
"privateAmount of donation, or nature and value if donation in kind: healthcare with a value of å£3,402Date received: 12 January 2017Date accepted: 12 January 2017Donor status: individual(Registered 10 July 2017)",1donelan_michelle.htm,"healthcare with a value of å£3,402"
"East Grinstead House, East Grinstead RH19 1UA",1mann_scott.htm,"use of a caravan club demonstration motorhome, equivalent cost to hire and pitch å£2,200"
"America House, Rumford Court, Rumford Place, Liverpool L3 9DDAmount of donation or nature of value if donation in kind: reimbursement for flights and other travel expenses, including two nights at a hotel during EU referendum campaign, value å£1,713Date received: 26 July 2016Date accepted: 26 July 2016Donor status: company, no 09245454(Registered 18 August 2016)",1paterson_owen.htm,"reimbursement for flights and other travel expenses, including two nights at a hotel during EU referendum campaign, value å£1,713"
"271 Stansted Road, Bishop's Stortford CM23 2BT",1umunna_chuka.htm,"A suit with a value of å£1,600"
private,1martin_sandy.htm,"Use of a flat in London between 10 June and 10 July 2017, value å£1,440"
private,1jenkin_bernard.htm,"One day‰Ûªs shooting, estimated value å£700"
"Beach House, Golf Place, St Andrews KY16 9JA",1mcgovern_alison.htm,"Attendance at the British Open accompanied by a guest, value å£450"
"Musselburgh, East Lothian EH21 7RG",1whitfield_martin.htm,badge for the racecourse with a value of å£440
"BBC Blackstaff House, Bruce St, Belfast BT2 7GXAmount of donation or nature of value if donation in kind: reimbursement for expenses to appear on BBC ‰Û÷Spotlight‰Ûª programme 21 March 2017; flights å£238.43; hotel å£149.90; total value å£388.33Date received: 19 April 2017Date accepted: 19 April 2017Donor status: company, registration RC000057(Registered 21 April 2017)",6paterson_owen.htm,reimbursement for expenses to appear on BBC ‰Û÷Spotlight‰Ûª programme 21 March 2017; flights å£238.43; hotel å£149.90; total value å£388.33
"Phase 2, 2 Crewe Road North, Edinburgh EH5 2XS",3whitford_philippa.htm,"entrance to Farnborough International Airshow 2016, value å£36"
Surrey KT18 5LQ,2grayling_chris.htm,"two racecourse passes for 2016, total value å£450Date of receipt: 6 June 2016Date of acceptance: 6 June 2016Donor status: company, registration 01752969(Registered 26 July 2016)"
"17 White House Grove, Elvington, York YO41 4AL",2burden_richard.htm,"Two passes to British Touring Car Championship 2017 rounds, total value for year approx. å£785."
"17 White House Grove, Elvington, York YO41 4AL",1burden_richard.htm,Two passes to British Touring Car Championship 2016 rounds. Total value for year approx. å£750.
private,1afolami_bim.htm,"Ticket to the Conservative Summer Party, value å£1,500"
"The London Television Centre, Upper Ground, London SE1 9LT",1davies_mims.htm,"ticket to the National Television Awards, including food and drink, value å£1,028"
"The London Television Centre, Upper Ground, London SE1 9LT",1matheson_christian.htm,"ticket for the National Television Awards with a value of å£1,028"
"The London Television Centre, Upper Ground, London SE1 9LT",1adams_nigel.htm,"ticket to attend the National Television Awards with a value of å£1,028"
"PO Box 1010, Uxbridge UB8 9NT",2gray_james.htm,12 month season ticket for car parking at Chippenham Station; value å£944
"One Stratford Place, Montfitchet Road, London E20 1EJ",7davies_philip.htm,"one ticket to Royal Ascot, with a value of å£700"
"Marford Mill, Rossett, Wrexham LL12 0HL",1wiggin_bill.htm," one day‰Ûªs shooting at Catton Hall, South Derbyshire and one night‰Ûªs accommodation at Hoar Cross Hall Hotel Staffordshire; total value å£826.73Date of receipt of donation: 16 December 2016Date of acceptance of donation: 16 December 2016Donor status: Registered Industrial and Provident Society No 28488R(Registered 19 December 2016; updated 10 January 2017)6"
private,1hammond_philip.htm,"Dinner for my wife and me, value å£800 in total"
"Whitehall Place, London SW1A 2HE",1farron_tim.htm,honorary life membership as Leader of the Liberal Democrats; value å£735 pa plus å£367.50 entrance fee.
"Marford Mill, Rossett, Wrexham LL12 0HL",1clifton-brown_geoffrey.htm,"one day‰Ûªs shooting at Catton Hall (å£650), South Derbyshire and one night‰Ûªs accommodation (å£176.73) at Hoar Cross Hall Hotel Staffordshire; total value å£826.73Date of receipt of donation: 16 December 2016Date of acceptance of donation: 16 December 2016Donor status: Registered Industrial and Provident Society No 28488R(Registered 19 December 2016; updated 10 January 2017)6"
"Floor 6, 50 Eastbourne Terrace, London W2 6LG",2thomas_derek.htm,"One admission including dinner at national Rail Award valued at å£60 plus train travel valued at å£200, total å£260"
"America House, Rumford Court, Rumford Place, Liverpool L3 9DD",5paterson_owen.htm,"reimbursement for travel expenses (å£52.67), two nights accommodation (å£157), meals and sundries (å£176.65) for UK 2020 events at Conservative Party Conference; total å£386.32"
"House of Commons, London SW1A 0AA",1gray_james.htm,six dinners value å£40 each; thirteen breakfasts value å£14.25 each; total å£425.25
"Burnaston, Derbyshire DE1 9TA",3wheeler_heather.htm,"Ben Ball charity dinner for the Society of Motor Manufacturers & Traders, attended by me and my husband; å£275 per person plus å£28 taxis, total value å£578"
"Burnaston, Derbyshire DE1 9TA",2wheeler_heather.htm,"the Society of Motor Manufacturers & Traders Dinner, attended by me and a member of staff; value å£250 per person plus taxi fare å£14, total value å£514"
"55 Diamond Road, Crumlin BT29 4QY",4paterson_owen.htm,"Dinner at the Randox Polo event at Bushmills, NI, total value å£240 and estimated equivalent accommodation cost for two nights, value å£200; total å£440"
"PO Box 72288, London SW1P 9LBEstimate of the probable value (or amount of any donation): Travel and accommodation with a value of å£2,000Destination of visit: Israel and the West BankDates of visit: 25-30 September 2016Purpose of visit: Fact finding political delegation.(Registered 20 October 2016)",1pow_rebecca.htm,"Travel and accommodation with a value of å£2,000Destination of visit: Israel and the West BankDates of visit: 25-30 September 2016Purpose of visit: Fact finding political delegation.(Registered 20 October 2016)"
"Woodcote Park Clubhouse, Wilmerhatch Lane, Epsom KT 18 7EW",1grayling_chris.htm,"honorary membership for the duration of my time as the MP for Epsom and Ewell, valued at å£1,600 per annum"
"Pall Mall Clubhouse, 89 Pall Mall, London SW1Y 5HS",2field_mark.htm,"renewal of honorary membership; value å£1,535Date of receipt of donation: 9 December 2014; renewed 18 November 2016Date of acceptance of donation: 9 December 2014Donor status: company, registration 03570702(Registered 17 December 2013; updated 10 December 2014, 18 November 2015 and 02 February 2017)"
"128 Theobald‰Ûªs Road, Holborn, London WC1X 8TN",1nandy_lisa.htm,"Hotel accommodation for 4 nights, value å£1,360 in total"
"69 St James's Street, London SW1A 1PJ.",1field_mark.htm,"renewal of honorary membership; value å£1,350Date of receipt of donation: 31 December 2014Date of acceptance of donation: 31 December 2014Donor status: company, registration 00573221(Registered 26 January 2012; updated 5 February 2013, 17 March 2014, 12 August 2015 and 9 September 2016)"
"Unit 6 Down Business Park, 46 Belfast Road, Downpatrick, County Down BT30 9UPAmount of donation or nature of value if donation in kind: reimbursement of costs relating to a visit to Northern Ireland, accommodation å£126 and transport å£247.49; total å£373.49Date received: 15 September 2016Date accepted: 15 September 2016Donor status: company, registration NI 020172(Registered 23 September 2016)",2paterson_owen.htm,"reimbursement of costs relating to a visit to Northern Ireland, accommodation å£126 and transport å£247.49; total å£373.49"
"Floor 6, 50 Eastbourne Terrace, London W2 6LG",1thomas_derek.htm,"Two admissions including dinner at Cornwall Business Awards valued at å£120, plus one nights accommodation valued at å£165, total å£285"
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JW",3davies_philip.htm," Two  invitations to Ladbrokes dinner at Conservative party conference, with a value of å£100 each; total value å£200"
"Central St Giles, St Giles High Street, London WC2H 8NU",1ghani_nusrat.htm,"one ticket for the BAFTA Film Awards and Dinner, value: å£1,239"
"Central St Giles, St Giles High Street, London WC2H 8NU",1whittingdale_john.htm,"one ticket for the BAFTA Film Awards and Dinner, value: å£1,239"
"PO Box 72288, London SW1P 9LB",1halfon_robert.htm,"Hotel accommodation during Conservative Party Conference, total value å£1,200"
"Wicksteed Leisure Ltd, Digby Street, Kettering, Northamptonshire NN16 8YJ",1baker_steve.htm,"From June 2017 to May 2018, accommodation in London, approx. value å£1,105 per calendar month; å£13,260 a year."
"Whitehall Place, London SW1A 2HE",1moran_layla.htm,"Complementary annual membership of the National Liberal Club, value å£1,102.50"
"St Christopher‰Ûªs Way, Burnham on Sea TA8 2PE",1heappey_james.htm,"Honorary golf club membership, annual value å£980"
"1 London Bridge Street, London SE1 9GF",1gove_michael.htm,"Whilst attending The Times Cheltenham Festival, two nights accommodation for myself plus one nights accommodation for two guests, total value å£850"
" 202 Kensington Church Street, London, W8 4DP",1kawczynski_daniel.htm,"Ticket for gala charity dinner on 5 December 2016, value å£760"
private,1greenwood_margaret.htm,"Accommodation during the general election campaign, value å£700"
"Venture Crescent, Nix's Hill Industrial Estate, Alfreton  DE55 7RA",2jenkin_bernard.htm,"Dinner, overnight stay and a day‰Ûªs shooting with a total value of å£650"
"West Terrace, Esh Winning, Durham DH7 9PT",1barron_kevin.htm,"invitation to the theatre, including overnight hotel accommodation for myself and my wife, total value å£600"
"Law Building, Museum Avenue, Cardiff CF10 3AX",1grieve_dominic.htm,"First class rail ticket, accommodation and dinner associated with delivery of annual public law lecture, to a value of å£531"
