,keywordsvec,Freq
766,value,162
625,of,111
370,and,103
194,a,84
734,the,84
518,for,78
545,hospitality,78
743,to,77
745,total,73
740,tickets,72
783,with,72
757,two,66
384,at,64
607,my,30
351,accommodation,24
630,on,23
550,in,20
466,dinner,19
739,ticket,19
93,2016,17
383,associated,17
475,each,17
589,match,15
591,me,14
631,one,14
645,per,14
781,wife,14
98,2017,13
386,attend,13
458,december,13
1,,12
379,as,12
393,awards,12
487,estimated,12
517,football,12
552,including,12
646,person,12
608,myself,11
271,̴350,10
369,an,10
469,donation,10
650,plus,10
681,royal,10
754,travel,10
768,visit,10
621,november,9
433,cheltenham,8
546,hotel,8
609,national,8
82,17,7
323,̴700,7
375,approx,7
380,ascot,7
410,british,7
436,club,7
528,glastonbury,7
565,january,7
614,nights,7
661,racecourse,7
662,races,7
668,received,7
716,status,7
737,three,7
765,v,7
9,10,6
75,16,6
253,̴250,6
349,acceptance,6
385,atp,6
442,conference,6
474,during,6
481,england,6
504,festival,6
508,finals,6
555,international,6
595,member,6
596,membership,6
640,part,6
641,party,6
667,receipt,6
731,television,6
748,tour,6
785,world,6
95,2016date,5
239,̴1840,5
278,̴37941,5
298,̴500,5
371,annual,5
374,appg,5
394,badge,5
439,company,5
443,conservative,5
452,cup,5
496,factfinding,5
535,guest,5
537,hall,5
543,honorary,5
560,is,5
561,islay,5
587,march,5
623,october,5
671,registration,5
672,reimbursement,5
685,scotch,5
767,valued,5
779,whisky,5
42,13,4
83,18,4
84,19,4
85,2,4
94,"2016",4
96,2016donor,4
111,26,4
119,31,4
150,6,4
183,9,4
197,̴1000,4
200,̴1028,4
241,̴200,4
307,̴550,4
314,̴600,4
363,air,4
404,between,4
414,by,4
420,car,4
430,championships,4
432,chelsea,4
455,day���s,4
506,film,4
507,final,4
531,grand,4
548,husband,4
569,june,4
643,passes,4
679,role,4
682,rugby,4
699,shooting,4
703,society,4
704,south,4
711,staff,4
718,subsistence,4
728,tattoo,4
760,updated,4
31,12,3
86,20,3
89,2014,3
139,5,3
161,7,3
262,̴300,3
287,̴400,3
300,̴510,3
321,̴650,3
332,̴800,3
350,accepted,3
388,attended,3
395,bafta,3
397,ball,3
405,book,3
417,campaign,3
418,capacity,3
426,ceremony,3
429,championship,3
431,charity,3
451,culture,3
493,expenses,3
494,fa,3
502,february,3
513,flights,3
519,forthcoming,3
521,from,3
549,i,3
568,july,3
582,lunch,3
593,media,3
594,meetings,3
634,overnight,3
639,parliamentary,3
674,relation,3
677,research,3
686,scotland,3
687,season,3
694,september,3
701,six,3
707,sport,3
717,stay,3
725,support,3
758,uk,3
774,wembley,3
782,wimbledon,3
787,writing,3
789,year,3
8,1,2
53,14,2
88,2013,2
91,2014donor,2
92,2015,2
99,"2017",2
100,"20176",2
103,2018,2
105,21,2
106,22,2
107,23,2
108,24,2
109,25,2
114,28488rregistered,2
128,4,2
172,8,2
195,̴0,2
208,̴110832,2
212,̴1239,2
231,̴1600,2
238,̴180,2
249,̴240,2
258,̴277,2
266,̴330,2
273,̴360,2
292,̴440,2
303,̴528,2
316,̴605,2
319,̴630,2
335,̴82673date,2
339,̴850,2
344,̴920,2
353,accompanying,2
356,admittance,2
357,ads,2
359,aegon,2
360,africa,2
