"","x"
"1","å£611.06 reimbursement of car hire costs during the General Election"
"2","a metal badge entitling the bearer to admittance to certain horse racing meetings in the UK during 2016. The badge is not available for purchase but its estimated value is between å£0 - å£1,000, depending on usage."
"3","a metal badge entitling the bearer to admittance to certain horse racing meetings in the UK during 2017. The badge is not available for purchase but its estimated value is between å£0 - å£1,000, depending on usage."
"4","secondment of parliamentary researcher from 17 January 2017 to 17 January 2018, value å£22,577"
"5","å£20,000 to support the research and writing of a forthcoming book"
"6","å£10,000 to support the research and writing of a forthcoming book"
"7","å£5,000 to support the research and writing of a forthcoming book"
"8","healthcare with a value of å£3,402"
"9","use of a caravan club demonstration motorhome, equivalent cost to hire and pitch å£2,200"
"10","reimbursement for flights and other travel expenses, including two nights at a hotel during EU referendum campaign, value å£1,713"
"11","A suit with a value of å£1,600"
"12","Use of a flat in London between 10 June and 10 July 2017, value å£1,440"
"13","One dayÛªs shooting, estimated value å£700"
"14","Attendance at the British Open accompanied by a guest, value å£450"
"15","badge for the racecourse with a value of å£440"
"16","reimbursement for expenses to appear on BBC Û÷SpotlightÛª programme 21 March 2017; flights å£238.43; hotel å£149.90; total value å£388.33"
"17","entrance to Farnborough International Airshow 2016, value å£36"
"18","two racecourse passes for 2016, total value å£450Date of receipt: 6 June 2016Date of acceptance: 6 June 2016Donor status: company, registration 01752969(Registered 26 July 2016)
"
"19","Two passes to British Touring Car Championship 2017 rounds, total value for year approx. å£785."
"20","Two passes to British Touring Car Championship 2016 rounds. Total value for year approx. å£750."
"21","Ticket to the Conservative Summer Party, value å£1,500"
"22","ticket to the National Television Awards, including food and drink, value å£1,028"
"23","ticket for the National Television Awards with a value of å£1,028"
"24","ticket to attend the National Television Awards with a value of å£1,028"
"25","12 month season ticket for car parking at Chippenham Station; value å£944"
"26","one ticket to Royal Ascot, with a value of å£700"
"27"," one dayÛªs shooting at Catton Hall, South Derbyshire and one nightÛªs accommodation at Hoar Cross Hall Hotel Staffordshire; total value å£826.73Date of receipt of donation: 16 December 2016Date of acceptance of donation: 16 December 2016Donor status: Registered Industrial and Provident Society No 28488R(Registered 19 December 2016; updated 10 January 2017)
6"
"28","Dinner for my wife and me, value å£800 in total"
"29","honorary life membership as Leader of the Liberal Democrats; value å£735 pa plus å£367.50 entrance fee."
"30","one dayÛªs shooting at Catton Hall (å£650), South Derbyshire and one nightÛªs accommodation (å£176.73) at Hoar Cross Hall Hotel Staffordshire; total value å£826.73Date of receipt of donation: 16 December 2016Date of acceptance of donation: 16 December 2016Donor status: Registered Industrial and Provident Society No 28488R(Registered 19 December 2016; updated 10 January 2017)
6"
"31","One admission including dinner at national Rail Award valued at å£60 plus train travel valued at å£200, total å£260"
"32","reimbursement for travel expenses (å£52.67), two nights accommodation (å£157), meals and sundries (å£176.65) for UK 2020 events at Conservative Party Conference; total å£386.32"
"33","six dinners value å£40 each; thirteen breakfasts value å£14.25 each; total å£425.25"
"34","Ben Ball charity dinner for the Society of Motor Manufacturers & Traders, attended by me and my husband; å£275 per person plus å£28 taxis, total value å£578"
"35","the Society of Motor Manufacturers & Traders Dinner, attended by me and a member of staff; value å£250 per person plus taxi fare å£14, total value å£514"
"36","Dinner at the Randox Polo event at Bushmills, NI, total value å£240 and estimated equivalent accommodation cost for two nights, value å£200; total å£440"
"37","Travel and accommodation with a value of å£2,000Destination of visit: Israel and the West BankDates of visit: 25-30 September 2016Purpose of visit: Fact finding political delegation.(Registered 20 October 2016)
"
"38","honorary membership for the duration of my time as the MP for Epsom and Ewell, valued at å£1,600 per annum"
"39","renewal of honorary membership; value å£1,535Date of receipt of donation: 9 December 2014; renewed 18 November 2016Date of acceptance of donation: 9 December 2014Donor status: company, registration 03570702(Registered 17 December 2013; updated 10 December 2014, 18 November 2015 and 02 February 2017)
"
"40","Hotel accommodation for 4 nights, value å£1,360 in total"
"41","renewal of honorary membership; value å£1,350Date of receipt of donation: 31 December 2014Date of acceptance of donation: 31 December 2014Donor status: company, registration 00573221(Registered 26 January 2012; updated 5 February 2013, 17 March 2014, 12 August 2015 and 9 September 2016)
"
"42","reimbursement of costs relating to a visit to Northern Ireland, accommodation å£126 and transport å£247.49; total å£373.49"
"43","Two admissions including dinner at Cornwall Business Awards valued at å£120, plus one nights accommodation valued at å£165, total å£285"
"44"," Two  invitations to Ladbrokes dinner at Conservative party conference, with a value of å£100 each; total value å£200"
"45","one ticket for the BAFTA Film Awards and Dinner, value: å£1,239"
"46","one ticket for the BAFTA Film Awards and Dinner, value: å£1,239"
"47","Hotel accommodation during Conservative Party Conference, total value å£1,200"
"48","From June 2017 to May 2018, accommodation in London, approx. value å£1,105 per calendar month; å£13,260 a year."
"49","Complementary annual membership of the National Liberal Club, value å£1,102.50"
"50","Honorary golf club membership, annual value å£980"
"51","Whilst attending The Times Cheltenham Festival, two nights accommodation for myself plus one nights accommodation for two guests, total value å£850"
"52","Ticket for gala charity dinner on 5 December 2016, value å£760"
"53","Accommodation during the general election campaign, value å£700"
"54","Dinner, overnight stay and a dayÛªs shooting with a total value of å£650"
"55","invitation to the theatre, including overnight hotel accommodation for myself and my wife, total value å£600"
"56","First class rail ticket, accommodation and dinner associated with delivery of annual public law lecture, to a value of å£531"
"57","conference business dinner with a value of å£400"
"58","as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and food from 7 to 8 October 2-016,  with a value of å£379.41"
"59","as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
"60","as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
"61","as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
