"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"1",7,7,7,NA,2
"2",3,3,3,1,2
"3",2,10,10,NA,2
"4",2,10,10,NA,2
"5",2,7,7,NA,4
"6",5,5,5,3,1
"7",1,99,9999,3,2
"8",2,2,2,3,2
"9",2,10,10,3,2
"10",6,6,6,3,2
"11",2,2,2,3,1
"12",5,5,5,3,2
"13",2,2,2,3,2
"14",2,2,2,3,2
"15",5,1,1,3,2
"16",2,2,2,3,2
"17",7,3,3,3,2
"18",6,2,2,3,2
"19",5,99,9999,3,5
"20",2,2,2,3,2
"21",3,1,1,3,4
"22",1,1,1,3,2
"23",2,2,2,3,1
"24",2,99,9999,3,3
"25",5,10,10,1,2
"26",NA,10,10,3,NA
"27",1,10,10,3,2
"28",2,3,3,1,3
"29",5,10,10,1,3
"30",2,2,2,3,2
"31",2,2,2,3,1
"32",2,2,2,3,2
"33",9,10,10,3,3
"34",2,10,10,3,2
"35",1,2,2,3,2
"36",NA,10,10,3,NA
"37",NA,10,10,3,NA
"38",6,6,6,3,2
"39",5,10,10,1,5
"40",6,10,10,3,2
"41",2,2,2,3,2
"42",5,2,2,3,3
"43",6,6,6,3,1
"44",3,10,10,1,5
"45",2,2,2,1,2
"46",2,2,2,1,1
"47",1,1,1,3,2
"48",6,6,6,3,2
"49",NA,2,2,3,NA
"50",1,1,1,4,2
"51",2,2,2,3,3
"52",5,5,5,3,1
"53",2,10,10,3,2
"54",6,6,6,3,2
"55",2,10,10,3,4
"56",6,10,10,1,5
"57",1,1,1,1,3
"58",5,5,5,1,2
"59",3,3,3,1,2
"60",2,2,2,1,1
"61",1,1,1,1,2
"62",1,1,1,1,1
"63",2,2,2,3,1
"64",1,1,1,3,2
"65",1,1,1,1,3
"66",2,2,2,1,1
"67",2,99,9999,1,2
"68",2,2,2,1,1
"69",5,2,2,5,5
"70",2,5,5,1,4
"71",2,2,2,3,1
"72",2,3,3,2,4
"73",1,1,1,3,2
"74",2,2,2,3,2
"75",6,6,6,3,2
"76",2,2,2,1,2
"77",6,6,6,1,5
"78",1,1,1,1,2
"79",1,1,1,4,1
"80",NA,10,10,1,NA
"81",2,2,2,1,2
"82",5,5,5,3,2
"83",1,1,1,1,2
"84",3,10,10,1,3
"85",5,5,5,8,2
"86",9999,10,10,1,3
"87",7,7,7,1,2
"88",1,3,3,1,4
"89",2,2,2,1,1
"90",1,1,1,3,3
"91",1,1,1,1,1
"92",2,2,2,1,1
"93",1,1,1,1,2
"94",2,10,10,3,2
"95",1,1,1,3,2
"96",1,10,10,3,2
"97",2,2,2,1,2
"98",1,10,10,3,2
"99",6,6,6,1,2
