EstablishmentDetail - FHRSID,EstablishmentDetail - RatingKey,EstablishmentDetail - RatingDate,EstablishmentDetail - SchemeType,EstablishmentDetail - RatingValue,EstablishmentDetail - BusinessName,EstablishmentDetail - BusinessType,EstablishmentDetail - BusinessTypeID,EstablishmentDetail - NewRatingPending,EstablishmentDetail - LocalAuthorityCode,EstablishmentDetail - LocalAuthorityName,EstablishmentDetail - LocalAuthorityWebSite,EstablishmentDetail - LocalAuthorityBusinessID,EstablishmentDetail - LocalAuthorityEmailAddress,EstablishmentDetail - AddressLine1,EstablishmentDetail - AddressLine2,EstablishmentDetail - PostCode,EstablishmentDetail - Geocode - Latitude,EstablishmentDetail - Geocode - Longitude,EstablishmentDetail - Scores - Hygiene,EstablishmentDetail - Scores - Structural,EstablishmentDetail - Scores - ConfidenceInManagement,EstablishmentDetail - AddressLine3,EstablishmentDetail - AddressLine4
670215,fhrs_5_en-GB,12/12/2014,FHRS,5,100% Vegan Ltd,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000615818,nick.lowe@birmingham.gov.uk,54-57 Allison Street,Birmingham,B5 5TH,52.477395,-1.890576,5,5,5,,
912718,fhrs_5_en-GB,07/09/2016,FHRS,5,1000 Trades,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000631313,nick.lowe@birmingham.gov.uk,16 Frederick Street,Birmingham,B1 3HE,52.485134,-1.911321,5,0,5,,
800341,fhrs_exempt_en-GB,11/08/2015,FHRS,Exempt,10p Shops Ltd,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000626847,nick.lowe@birmingham.gov.uk,756 Bristol Road South,Weoley,B31 2NN,52.415607,-1.970167,,,,Birmingham,
603331,fhrs_5_en-GB,01/03/2017,FHRS,5,19 Gales Farmhouse Foods,Manufacturers/packers,7839,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000495781,nick.lowe@birmingham.gov.uk,19 Gales Farmhouse Foods,University Centre R23,B15 2TT,52.448981,-1.930874,5,5,5,Edgbaston Park Road,Birmingham
853976,fhrs_4_en-GB,08/03/2016,FHRS,4,1st United Bakery,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000598851,nick.lowe@birmingham.gov.uk,"Stall 16 And Stall 17, Indoor Market",50 Edgbaston Street,B5 4RQ,52.476122,-1.895099,5,5,10,Birmingham,
601580,fhrs_5_en-GB,01/03/2017,FHRS,5,2 M'S,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000462752,nick.lowe@birmingham.gov.uk,10A Northfield Road,Harborne,B17 0SS,52.455801,-1.965578,5,5,5,Birmingham,
601933,fhrs_5_en-GB,01/03/2017,FHRS,5,2 Ms Supermarket,Retailers - supermarkets/hypermarkets,7840,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000473176,nick.lowe@birmingham.gov.uk,255 Wash Lane,Birmingham,B25 8PT,52.467034,-1.820874,5,5,5,,
602618,fhrs_4_en-GB,23/01/2016,FHRS,4,2 M'S Supermarket,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000484991,nick.lowe@birmingham.gov.uk,185-187 Weoley Avenue,Birmingham,B29 6PU,52.44261,-1.956776,5,5,10,,
603554,fhrs_4_en-GB,01/03/2017,FHRS,4,2 Phat Cooks,Manufacturers/packers,7839,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000499348,nick.lowe@birmingham.gov.uk,61 Mere Road,Birmingham,B23 7LL,52.519814,-1.860643,5,0,10,,
865360,fhrs_2_en-GB,02/05/2017,FHRS,2,2Joy Cafe,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000631162,nick.lowe@birmingham.gov.uk,135 Stratford Road,Sparkbrook,B11 1RD,52.464004,-1.877112,10,15,10,Birmingham,
603847,fhrs_4_en-GB,16/01/2017,FHRS,4,3 Kings,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000503022,nick.lowe@birmingham.gov.uk,,,,,,5,0,10,,
599362,fhrs_4_en-GB,01/03/2017,FHRS,4,3 Schooners Wines,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000257719,nick.lowe@birmingham.gov.uk,103 Nechells Park Road,Birmingham,B7 5PY,52.500015,-1.865625,5,5,10,,
865377,fhrs_2_en-GB,26/04/2017,FHRS,2,3 Threes Coffee Lounge,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/500205144,nick.lowe@birmingham.gov.uk,Unit 8,17-19 Martineau Place,B2 4UW,52.480177,-1.896105,10,15,10,Birmingham,
598467,fhrs_5_en-GB,01/03/2017,FHRS,5,3-D News & Wine,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000154978,nick.lowe@birmingham.gov.uk,53 Stephenson Street,Birmingham,B2 4DH,52.478139,-1.898672,0,5,5,,
598421,fhrs_5_en-GB,01/03/2017,FHRS,5,5 Creations,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000149369,nick.lowe@birmingham.gov.uk,,,,,,5,0,0,,
947591,fhrs_3_en-GB,17/01/2017,FHRS,3,5 Star Internet Cafe,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000640973,nick.lowe@birmingham.gov.uk,143A Stratford Road,Sparkbrook,B11 1RD,52.464004,-1.877112,10,10,10,Birmingham,
600780,fhrs_5_en-GB,01/03/2017,FHRS,5,6 Newhomes Development,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000437604,nick.lowe@birmingham.gov.uk,Southern Drive,Birmingham,B30 3QF,52.410322,-1.903591,5,5,5,,
603992,fhrs_2_en-GB,30/03/2017,FHRS,2,6/8 Kafe,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000505117,nick.lowe@birmingham.gov.uk,6-8 Temple Row,Birmingham,B2 5HG,52.481679,-1.896618,10,15,10,,
602652,fhrs_5_en-GB,20/03/2015,FHRS,5,7 Day Catering Ltd,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000485575,nick.lowe@birmingham.gov.uk,Unit 1,50 Summer Hill Road,B1 3RB,52.484123,-1.917331,5,5,5,Birmingham,
602024,fhrs_exempt_en-GB,01/03/2017,FHRS,Exempt,7 Days Newsagent,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000474707,nick.lowe@birmingham.gov.uk,97 George Road,Stockland Green,B23 7SH,52.517,-1.861035,,,,Birmingham,
599590,fhrs_4_en-GB,01/03/2017,FHRS,4,7 Star Food and Wine (New premises),Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000290467,nick.lowe@birmingham.gov.uk,7 Star Food and Wine (New premises),105-107 Glenpark Road,B8 3QL,52.493256,-1.845202,5,5,10,Birmingham,
976027,fhrs_4_en-GB,21/04/2017,FHRS,4,786 Ices,Mobile caterer,7846,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000457262,nick.lowe@birmingham.gov.uk,,,,,,5,5,10,,
601932,fhrs_5_en-GB,01/03/2017,FHRS,5,99p Store,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000473159,nick.lowe@birmingham.gov.uk,262-268 High Street,Erdington,B23 6SN,52.521949,-1.843053,0,0,0,Birmingham,
604020,fhrs_5_en-GB,01/03/2017,FHRS,5,99p Stores,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000505327,nick.lowe@birmingham.gov.uk,288 Lichfield Road,Sutton Four Oaks,B74 2UG,52.585839,-1.829232,0,0,0,Birmingham,Birmingham
604387,fhrs_4_en-GB,01/03/2017,FHRS,4,99p Stores,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000510576,nick.lowe@birmingham.gov.uk,941-943 Walsall Road,Perry Barr,B42 1TN,52.545092,-1.931668,10,5,0,Birmingham,
