Medium,Number,OIL,*Acrylic*,tempera,Mixed Media,Other,Paper,board,canvas,wood
mixed media on paper,116,,,,MIXED MEDIA,,paper,,,
mixed media on board,81,,,,MIXED MEDIA,,,board,,
fresco,70,,,,,FRESCO,,,,
mixed media on canvas,67,,,,MIXED MEDIA,,,,canvas,
sign writer‰Ûªs enamel on wood & books,42,,,,,ENAMEL,,,,wood
mixed media (?),31,,,,MIXED MEDIA,,,,,
(Other),9393,,,,,OTHER,,,,
oil on canvas,135722,OIL,,,,,,,canvas,
oil on board,23000,OIL,,,,,,board,,
oil on panel,13217,OIL,,,,,,,,
Oil on canvas,4471,OIL,,,,,,,canvas,
oil on paper,3271,OIL,,,,,paper,,,
oil on wood,2068,OIL,,,,,,,,wood
oil on hardboard,1750,OIL,,,,,,board,,
oil on card,1088,OIL,,,,,,,,
oil on copper,802,OIL,,,,,,,,
oil on millboard,777,OIL,,,,,,board,,
oil on canvas board,672,OIL,,,,,,board,canvas,
oil on oak panel,633,OIL,,,,,,,,
Oil on wood,554,OIL,,,,,,,,wood
oil on canvas on board,549,OIL,,,,,,board,canvas,
oil,534,OIL,,,,,,,,
Oil on oak,399,OIL,,,,,,,,
oil on cardboard,398,OIL,,,,,,board,,
oil on wood panel,378,OIL,,,,,,,,wood
oil on canvas (?),324,OIL,,,,,,,canvas,
Oil on board,286,OIL,,,,,,board,,
oil on linen,258,OIL,,,,,,,,
oil on plywood,252,OIL,,,,,,,,wood
oil on mahogany panel,214,OIL,,,,,,,,
oil on metal,195,OIL,,,,,,,,
oil (?),189,OIL,,,,,,,,
oil on glass,188,OIL,,,,,,,,
oil on canvas laid on board,185,OIL,,,,,,board,canvas,
oil on canvas laid on panel,158,OIL,,,,,,,canvas,
oil & mixed media on canvas,154,OIL,,,MIXED MEDIA,,,,canvas,
oil on canvas ,145,OIL,,,,,,,canvas,
oil on paper on board,130,OIL,,,,,paper,board,,
oil & mixed media on board,105,OIL,,,MIXED MEDIA,,,board,,
oil on fabric,100,OIL,,,,,,,,
oil on paper laid on canvas,97,OIL,,,,,paper,,canvas,
oil on canvas on panel,96,OIL,,,,,,,canvas,
oil on canvas marouflaged on Sundeala board,91,OIL,,,,,,board,canvas,
Oil on mahogany,81,OIL,,,,,,,,
oil on paper on canvas,77,OIL,,,,,paper,,canvas,
oil on panel board,68,OIL,,,,,,board,,
oil on tin,64,OIL,,,,,,,,
oil on hessian,62,OIL,,,,,,,,
oil & mixed media on paper,59,OIL,,,MIXED MEDIA,,paper,,,
oil & collage on canvas,57,OIL,,,,,,,canvas,
oil on board (?),57,OIL,,,,,,board,,
oil on slate,57,OIL,,,,,,,,
oil & pencil on canvas,53,OIL,,,,,,,canvas,
Oil on poplar,53,OIL,,,,,,,,
oil on canvasåÊ,51,OIL,,,,,,,canvas,
oil & grisaille on panel,50,OIL,,,,,,,,
oil on panel screen,49,OIL,,,,,,,,
oil on board ,48,OIL,,,,,,board,,
Oil on copper,48,OIL,,,,,,,,
oil & pencil on board,47,OIL,,,,,,board,,
oil & wax on canvas,42,OIL,,,,,,,canvas,
oil & watercolour on paper,40,OIL,,,,,paper,,,
oil on wood ,40,OIL,,,,,,,,wood
oil on wooden panel,40,OIL,,,,,,,,wood
oil on poplar panel,38,OIL,,,,,,,,
oil on canvas & board,37,OIL,,,,,,board,canvas,
oil & graphite on card,36,OIL,,,,,,,,
oil on cotton duck,35,OIL,,,,,,,,
oil on fibreboard,35,OIL,,,,,,board,,
acrylic on canvas,3726,,ACRYLIC,,,,,,canvas,
acrylic on board,2048,,ACRYLIC,,,,,board,,
acrylic on paper,1364,,ACRYLIC,,,,paper,,,
tempera on panel,485,,,TEMPERA,,,,,,
tempera on board,228,,,TEMPERA,,,,board,,
tempera on canvas,175,,,TEMPERA,,,,,canvas,
Acrylic on canvas,172,,ACRYLIC,,,,,,canvas,
acrylic on card,148,,ACRYLIC,,,,,,,
Tempera on wood,98,,,TEMPERA,,,,,,wood
acrylic on canvas board,97,,ACRYLIC,,,,,board,canvas,
acrylic & mixed media on board,89,,ACRYLIC,,MIXED MEDIA,,,board,,
acrylic & mixed media on canvas,89,,ACRYLIC,,MIXED MEDIA,,,,canvas,
tempera on wood,85,,,TEMPERA,,,,,,wood
acrylic on hardboard,83,,ACRYLIC,,,,,board,,
tempera on paper,82,,,TEMPERA,,,paper,,,
acrylic on panel,78,,ACRYLIC,,,,,,,
acrylic on cotton duck,71,,ACRYLIC,,,,,,,
Egg tempera on wood,71,,,TEMPERA,,,,,,wood
acrylic on MDF board,69,,ACRYLIC,,,,,board,,
acrylic & mixed media on paper,68,,ACRYLIC,,MIXED MEDIA,,paper,,,
acrylic on wood,68,,ACRYLIC,,,,,,,wood
acrylic,48,,ACRYLIC,,,,,,,
tempera & gilding on panel,46,,,TEMPERA,,,,,,
Tempera on poplar,45,,,TEMPERA,,,,,,
acrylic on mineral fibre tile,39,,ACRYLIC,,,,,,,
acrylic & gouache on paper,38,,ACRYLIC,,,,paper,,,
tempera on spruce panel,35,,,TEMPERA,,,,,,
acrylic on MDF,32,,ACRYLIC,,,,,,,
oil & acrylic on canvas,109,OIL,ACRYLIC,,,,,,canvas,
acrylic & oil on canvas,57,OIL,ACRYLIC,,,,,,canvas,
oil & acrylic on board,42,OIL,ACRYLIC,,,,,board,,
