"","artist","col2","title","col4","year","medium","col7","Accession_num","unknown_code","acquisition_method","on_display_at","area","area_code","on_display_duplicate","postcode","keywords","col17","col18","col19","col20","col21","col22"
"1","Catchpole, Glyn, b.1932","NULL","B17 Flying Fortress 398945","","1983","oil on canvas board","NULL","TA 1111","NFK_BGM_3","gift, 1983","100th Bomb Group Memorial Museum","Norfolk","NFK","100th Bomb Group Memorial Museum","IP21 4PH","Aeroplane, Aircraft, Bomber, Cloud, Cockpit, Engine, Flight, Flying, Flying Fortress, Plane, Propeller, Propellor, Sky, Tail, Wing","NULL","NULL",NA,NA,NA,NA
"2","Crowfoot, Joe, b.1946","NULL","Thorpe Abbots' Control Tower, World War Two","","1994","acrylic on board","NULL","TA 1526","NFK_BGM_BGM1","gift from the artist, 1994","100th Bomb Group Memorial Museum","Norfolk","NFK","100th Bomb Group Memorial Museum","IP21 4PH","Aerial, Aeroplane, Air Field, Aircraft, Airfield, Airmen, Airplane, Ambulance, Bicycle, Bomber, Cloud, Control Tower, Hangar, Jeep, Lorry, Man, Men, Military, Nissan Hut, Plane, Railing, Shed, Sky, Stairway, Truck, Windsock","NULL","NULL",NA,NA,NA,NA
"3","Howlett, Dennis","NULL","Storm Clouds over the Old USAAF Control Tower","","1986","acrylic on board","NULL","TA 2165","NFK_BGM_8","gift from Homer Young, 1986","100th Bomb Group Memorial Museum","Norfolk","NFK","100th Bomb Group Memorial Museum","IP21 4PH","Air Force, Airfield, Airstrip, Building, Cloud, Control Tower, Grass, Runway, Sky, Storm, Storm Cloud, Tower, Tree, Usaaf, Window","NULL","NULL",NA,NA,NA,NA
"4","Leigh, Ronald, b.1961","NULL","B17s x 4 (230062) Flying Fortress, 100th Bomb Group","","1994","acrylic on board","NULL","TA 1033","NFK_BGM_4","gift, 1994","100th Bomb Group Memorial Museum","Norfolk","NFK","100th Bomb Group Memorial Museum","IP21 4PH","Aeroplane, Aircraft, B17, Bomber, Cloud, Flying Fortress, Formation Flying, Marking, Plane, Propeller, Propellor, Sky, Wing, War","NULL","NULL",NA,NA,NA,NA
"5","Powers","NULL","John Bennett","","1946","oil on canvas","NULL","TA 00392","NFK_BGM_5","gift, 1982","100th Bomb Group Memorial Museum","Norfolk","NFK","100th Bomb Group Memorial Museum","IP21 4PH","Aeroplane, Aircraft, Airforce, Airman, Airplane, American, Badge, Button, Cap, Cloud, Control Tower, Flag, Hat, Jacket, Man, Medal Ribbon, Plane, Shirt, Sky, Soldier, Stars And Stripes, Tie, Tower, Uniform, Window, Wing","NULL","NULL",NA,NA,NA,NA
"6","unknown artist","NULL","Female Figure","","1943–1945","oil on board","NULL","TA 1271/1","NFK_BGM_7","gift from the Old Rectory, Thorpe Abbotts, 1979","100th Bomb Group Memorial Museum","Norfolk","NFK","100th Bomb Group Memorial Museum","IP21 4PH","Arm, Bikini, Bra, Female, Hair, High Heels, Knickers, Leg, Make-up, Model, Pants, Pin-up, Portrait, Pose, Shoe, Sitting, Underclothes, Underwear, Woman","NULL","NULL",NA,NA,NA,NA
"7","unknown artist","NULL","Female Figure","","1943–1945","oil on board","NULL","TA 1271/2","NFK_BGM_6","gift from Pearl Noble (Brockdish), 1979","100th Bomb Group Memorial Museum","Norfolk","NFK","100th Bomb Group Memorial Museum","IP21 4PH","Blouse, Female, Hair, High Heels, Shoe, Shorts, Woman","NULL","NULL",NA,NA,NA,NA
"8","Matthews, J.","NULL","Officers of the 14th King's Hussars","NULL","1889","oil on canvas","NULL","LANKH.797","LAN_LKH_LANKH_797","gift from Mrs P. Fleming","14th/20th King's Hussars Museum","Lancashire","LAN","14th/20th King's Hussars Museum","PR1 4YP","Apron, Bell, Bridle, Cap, Cavalry, Cavalryman, Dress, Feather, Horse, Hussar, Inn, Officer, Plume, Pub, Public House, Saddle, Servant, Sign, Soldier, Stirrup, Tray, Tree, Uniform, Woman, Hat","NULL","NULL",NA,NA,NA,NA
"9","unknown artist","NULL","Major James Leith Winning the Victoria Cross","NULL","1858","oil on canvas","NULL","LANKH.592","LAN_LKH_LANKH_592","gift from the National Army Museum","14th/20th King's Hussars Museum","Lancashire","LAN","14th/20th King's Hussars Museum","PR1 4YP","Battle, Battlefield, Beard, Body, Bravery, Death, Fight, Horse, Major, Man, Smoke, Soldier, Sword, Uniform, War","NULL","NULL",NA,NA,NA,NA
"10","unknown artist","NULL","Major John Woolmer Smith, 14th Light Dragoons","NULL","c.1826","oil on canvas","NULL","LANKH.260","LAN_LKH_LANKH_260","purchased by the Museum Trustees with the assistance of the Army Museums Ogilby Trust","14th/20th King's Hussars Museum","Lancashire","LAN","14th/20th King's Hussars Museum","PR1 4YP","Black, Hair, Man, Nose, Sash, Soldier, Uniform","NULL","NULL",NA,NA,NA,NA
