"","x"
"1","album rock,blues-rock,british blues,classic rock,electric blues,hard rock,rock"
"2","album rock,classic rock,hard rock,heavy christmas,rock"
"3","dance rock,new romantic,new wave,new wave pop,permanent wave,power pop,synthpop"
"4","dance pop,pop"
"5","album rock,alternative rock,classic rock,hard rock,mellow gold,rock"
"6","indie pop,indie rock"
"7","dance rock,new romantic,new wave,new wave pop,synthpop"
"8","alternative dance,alternative rock,anti-folk,chamber pop,chillwave,dance-punk,dream pop,escape room,experimental rock,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,neo-psychedelic,new rave,noise pop,noise rock,nu gaze,post rock,shimmer pop,synthpop"
"9","chamber pop,dark cabaret,folk-pop,freak folk,indie folk,indie pop,melancholia,singer-songwriter"
"10","alternative dance,alternative rock,canadian indie,canadian pop,chamber pop,dance-punk,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,permanent wave,rock,stomp and holler"
"11","garage rock,indie rock,permanent wave,sheffield indie"
"12","alternative rock,britpop,garage rock,indie rock,madchester,pop rock"
"13","alternative metal,alternative rock,funk rock,hard rock,nu metal,permanent wave,post-grunge,rock"
"14","alternative metal,nu metal,pop punk,post-grunge,rock"
"15","big room,dance pop,edm,electro house,pop,tropical house"
"16","bmore,dance pop,escape room,hip house,hip pop,indie r&b,pop"
"17","alternative rock,anti-folk,britpop,chamber pop,folk-pop,indie folk,indie pop,indie rock,lo-fi,madchester,melancholia,neo-psychedelic,pop rock"
"18","alternative dance,big beat,disco house,electronic,house,new rave,trip hop,tropical house,uk garage,vocal house"
"19","metropopolis,pop,tropical house"
"20","alternative dance,chamber pop,chamber psych,dream pop,etherpop,folk-pop,indie pop,indie r&b,indietronica,metropopolis,new rave,pop,synthpop,trip hop"
"21","alternative dance,alternative rock,chamber pop,chillwave,dream pop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,neo-psychedelic,new rave,noise pop,shimmer pop,stomp and holler,synthpop"
"22","alternative rock,classic rock,east coast hip hop,electronic,funk rock,gangster rap,hip hop,old school hip hop,rap,rock"
"23","albuquerque indie,chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,stomp and holler"
"24","alternative rock,anti-folk,britpop,chamber pop,folk rock,folk-pop,indie folk,indie pop,indie rock,lo-fi,melancholia,neo-psychedelic,new wave,pop rock,scottish rock,singer-songwriter,slow core,stomp and holler,swedish indie rock,twee pop"
"25","british folk,folk christmas,traditional british folk"
"26","chamber pop,fingerstyle,folk-pop,indie anthem-folk,indie folk,neo mellow,singer-songwriter,stomp and holler"
"27","dance pop,pop,pop rap,post-teen pop,r&b"
"28","garage rock,indie rock,rock,scottish rock"
"29","celtic rock,dance rock,madchester,new romantic,new wave,new wave pop,scottish rock,synthpop"
"30","album rock,classic rock,dance rock,glam metal,hard rock,heavy christmas,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
"31","album rock,classic funk rock,dance pop,dance rock,disco,europop,mellow gold,motown,new romantic,new wave,new wave pop,quiet storm,soft rock"
"32","album rock,alternative rock,art rock,classic rock,hard rock,metal,rock,stoner rock"
"33","dancehall,dub,lovers rock,reggae,reggae fusion,roots reggae"
"34","heavy christmas,pop punk,punk,punk christmas"
"35","alternative dance,alternative rock,dance-punk,electronic,garage rock,indie pop,indie rock,indietronica,new rave,rock,synthpop"
"36","album rock,candy pop,classic rock,dance pop,dance rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,power pop,punk,rock,soft rock,synthpop"
"37","alternative rock,britpop,classic rock,dance rock,electronic,funk rock,garage rock,indie rock,neo-psychedelic,new wave,permanent wave,pop rock,rock"
"38","alt-indie rock,alternative dance,british indie rock,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,new rave,shimmer pop,stomp and holler,synthpop"
"39","chamber pop,folk-pop,indie folk,indie pop,indie rock,melancholia,neo mellow,slow core,stomp and holler"
"40","album rock,glam metal,hard rock,heavy christmas,rock"
"41","dance rock,new romantic,new wave,new wave pop,soul christmas,synthpop"
"42","classic rock,mellow gold,permanent wave,pop christmas,rock,roots rock,singer-songwriter,soft rock"
"43","dance pop,pop"
"44","album rock,canadian pop,hard rock,mellow gold,rock,soft rock"
"45","art rock,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,pub rock,soft rock,synthpop"
"46","alternative country,folk christmas,folk-pop,indie christmas,indie folk,roots rock,singer-songwriter,slow core,stomp and holler"
