genresvec,Freq
rock,107
indie rock,80
alternative rock,77
dance rock,59
pop rock,59
new wave,57
singer-songwriter,54
permanent wave,52
garage rock,49
indie pop,48
new wave pop,47
classic rock,46
album rock,44
folk-pop,42
synthpop,42
mellow gold,40
new romantic,40
britpop,39
electronic,39
pop,38
art rock,35
soft rock,35
hard rock,34
indie folk,34
chamber pop,33
new rave,33
madchester,32
neo mellow,31
dance pop,30
neo-psychedelic,30
alternative dance,29
indietronica,27
roots rock,24
stomp and holler,23
blues-rock,21
dance-punk,21
funk rock,21
pop christmas,21
folk rock,19
freak folk,19
dream pop,16
lo-fi,16
pop rap,16
post-grunge,16
alternative metal,15
rap,14
alt-indie rock,13
europop,13
anti-folk,12
big beat,12
disco,12
indie christmas,12
melancholia,12
power pop,12
noise pop,11
nu metal,11
post-punk,11
tropical house,11
classic funk rock,10
folk christmas,10
indie r&b,10
slow core,10
trip hop,10
disco house,9
folk,9
hip hop,9
punk,9
shimmer pop,9
uk post-punk,9
alternative country,8
chillwave,8
heavy christmas,8
new americana,8
british blues,7
chamber psych,7
edm,7
glam rock,7
lilith,7
metal,7
motown,7
protopunk,7
psychedelic rock,7
soul,7
soul christmas,7
space rock,7
funk,6
glam metal,6
house,6
pop punk,6
post rock,6
post-teen pop,6
acoustic pop,5
canadian pop,5
downtempo,5
electric blues,5
experimental rock,5
grime,5
hip house,5
nu gaze,5
post-disco,5
progressive rock,5
pub rock,5
quiet storm,5
southern rock,5
uk garage,5
adult standards,4
east coast hip hop,4
electro house,4
escape room,4
gangster rap,4
irish rock,4
r&b,4
rap metal,4
rap rock,4
scottish rock,4
symphonic rock,4
traditional folk,4
welsh rock,4
brooklyn indie,3
compositional ambient,3
country rock,3
experimental,3
funk metal,3
grunge,3
hardcore hip hop,3
hip pop,3
jazz funk,3
memphis soul,3
metropopolis,3
modern blues,3
new weird america,3
piano rock,3
punk blues,3
punk christmas,3
sheffield indie,3
southern hip hop,3
stoner rock,3
vocal house,3
world,3
australian alternative rock,2
big room,2
breakbeat,2
brill building pop,2
british folk,2
british indie rock,2
british invasion,2
brostep,2
candy pop,2
celtic rock,2
chicago soul,2
country blues,2
electro,2
emo,2
etherpop,2
g funk,2
garage psych,2
indie anthem-folk,2
jazz blues,2
kraut rock,2
neo soul,2
noise rock,2
nu jazz,2
old school hip hop,2
outlaw country,2
progressive house,2
reggae fusion,2
screamo,2
shoegaze,2
soul blues,2
southern soul,2
texas country,2
urban contemporary,2
viral pop,2
vocal jazz,2
west coast rap,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
acid house,1
acid jazz,1
acoustic blues,1
albuquerque indie,1
australian pop,1
bassline,1
bebop,1
blues,1
bmore,1
boogie-woogie,1
boston rock,1
bow pop,1
boy band,1
british alternative rock,1
bubblegum dance,1
canadian indie,1
canterbury scene,1
celtic,1
chicago indie,1
comic,1
contemporary jazz,1
contemporary post-bop,1
cool jazz,1
dancehall,1
dark cabaret,1
deep groove house,1
deep new americana,1
delta blues,1
detroit hip hop,1
dirty south rap,1
downtempo fusion,1
drum and bass,1
dub,1
e6fi,1
electroclash,1
ethereal wave,1
eurodance,1
filter house,1
fingerstyle,1
flamenco,1
focus,1
fourth world,1
german metal,1
german techno,1
groove metal,1
hard bop,1
hardcore techno,1
harp,1
icelandic pop,1
industrial,1
industrial metal,1
industrial rock,1
irish folk,1
jam band,1
jangle pop,1
jazz,1
jazz fusion,1
laboratorio,1
latin alternative,1
leeds indie,1
liquid funk,1
lovers rock,1
mande pop,1
math pop,1
mbalax,1
metalcore,1
minimal dub,1
moombahton,1
neue deutsche harte,1
new jack swing,1
norwegian pop,1
norwegian rock,1
nu disco,1
nu skool breaks,1
nwobhm,1
ok indie,1
post-hardcore,1
progressive bluegrass,1
reggae,1
rock en espanol,1
rock-and-roll,1
rockabilly,1
roots reggae,1
rumba,1
shiver pop,1
skate punk,1
soul jazz,1
speed metal,1
stoner metal,1
swedish indie rock,1
texas blues,1
thrash metal,1
traditional blues,1
traditional british folk,1
traditional country,1
trap music,1
twee pop,1
uk funky,1
vegas indie,1
world christmas,1
x,1
zolo,1
