Establishment Number,LA code,LAEstab 2016,School Name,LA Name,URN,type,indexofdep,Number of Full-Time Vacant Posts,Full-Time Posts Vacant (%),Number of Full-Time Temporarily Filled Posts,Full-Time Temporarily Filled Posts (%),,,,,,,,
4004,335,3314004,Seva School,Coventry,141104,Free Schools,8,0,0,4,80,,,,,,,,2387
2010,335,3322010,Kates Hill Community Primary School,Dudley,103774,Community School,1,1,50,3,75,,,,,,,,
4010,,3304010,Waverley Studio College,Birmingham,139788,Studio Schools,2,0,0,3,75,,,,,,,,
2043,815,3322043,Dawley Brook Primary School,Dudley,103781,Community School,7,0,0,2,66.7,,,,,,,,
2012,353,3322012,Northfield Road Primary School,Dudley,103775,Community School,2,0,0,2,66.7,,,,,,,,
1025,871,2101025,Ann Bernadt Nursery School,Southwark,100768,LA Nursery School,2,0,0,3,60,,,,,,,,
3459,888,8653459,"Hindon Church of England Voluntary Aided Primary School, St Mary's and St John's",Wiltshire,126444,Voluntary Aided School,6,0,0,1,50,,,,,,,,
7180,209,2097180,Greenvale School,Lewisham,100765,Community Special School,1,0,0,1,50,,,,,,,,
2607,210,8782607,Holbeton School,Devon,113252,Community School,6,0,0,1,50,,,,,,,,
1010,336,9311010,Grandpont Nursery School,Oxfordshire,122969,LA Nursery School,3,0,0,1,50,,,,,,,,
2013,816,9262013,Bawdeswell Community Primary School,Norfolk,120785,Community School,6,0,0,1,50,,,,,,,,
1047,206,2061047,North Islington Nursery School,Islington,100386,LA Nursery School,3,0,0,1,50,,,,,,,,
2035,885,8262035,Emberton School,Milton Keynes,110226,Community School,8,0,0,1,50,,,,,,,,
3234,931,8153234,Clapham Church of England Voluntary Controlled Primary School,North Yorkshire,121557,Voluntary Controlled School,6,0,0,1,50,,,,,,,,
1101,335,3811101,Calderdale PRU,Calderdale,133693,Pupil Referral Unit,6,0,0,1,50,,,,,,,,
2099,845,9162099,Tibberton Community Primary School,Gloucestershire,115545,Community School,6,0,0,1,50,,,,,,,,
2089,336,8782089,Spreyton School,Devon,113124,Community School,5,0,0,1,50,,,,,,,,
4800,871,8854800,Hagley Catholic High School,Worcestershire,141414,Academy Converter,10,0,0,1,50,,,,,,,,
1018,830,8401018,Aclet Close Nursery School,Durham,113972,LA Nursery School,1,0,0,1,50,,,,,,,,
1009,336,3801009,Midland Road Nursery School,Bradford,107189,LA Nursery School,1,0,0,1,50,,,,,,,,
3453,342,8653453,Chilmark and Fonthill Bishop Church of England Aided Primary School,Wiltshire,126438,Voluntary Aided School,6,0,0,2,50,,,,,,,,
1107,894,9351107,"First Base, Ipswich",Suffolk,133715,Pupil Referral Unit,1,0,0,2,50,,,,,,,,
2196,807,8712196,Godolphin Infant School,Slough,138731,Academy Converter,5,0,0,7,46.7,,,,,,,,
2117,,3302117,Oasis Academy Boulton,Birmingham,139242,Academy Sponsor Led,2,2,22.2,6,46.2,,,,,,,,
3301,336,8703301,St Mary and All Saints Church of England Voluntary Aided Primary School,Reading,110002,Voluntary Aided School,3,0,0,6,46.2,,,,,,,,
2040,359,3122040,Pinkwell Primary School,Hillingdon,140671,Academy Sponsor Led,4,0,0,4,44.4,,,,,,,,
3500,307,3013500,St Joseph's Catholic Primary School,Barking and Dagenham,101235,Voluntary Aided School,3,0,0,10,41.7,,,,,,,,
2010,335,8782010,Colyton Primary School,Devon,113067,Community School,7,0,0,2,40,,,,,,,,
3759,879,8883759,"St John Southworth Roman Catholic Primary School, Nelson",Lancashire,119655,Voluntary Aided School,4,0,0,2,40,,,,,,,,
3346,886,2113346,Guardian Angels Roman Catholic Primary School,Tower Hamlets,100945,Voluntary Aided School,4,0,0,4,40,,,,,,,,
5203,860,3075203,Dormers Wells Infant School,Ealing,101938,Foundation School,1,0,0,8,40,,,,,,,,
3401,202,2023401,St Aloysius Roman Catholic Infant School,Camden,100038,Voluntary Aided School,2,0,0,5,38.5,,,,,,,,
1101,335,3171101,Redbridge Tuition Service,Redbridge,134366,Pupil Referral Unit,5,0,0,3,37.5,,,,,,,,
2004,816,8962004,University Primary Academy Weaverham,Cheshire West and Chester,140410,Academy Sponsor Led,6,0,0,3,37.5,,,,,,,,
7001,,9377001,River House School,Warwickshire,125795,Community Special School,5,0,0,3,37.5,,,,,,,,
5202,811,2125202,Eardley School,Wandsworth,101004,Foundation School,5,0,0,11,36.7,,,,,,,,
1106,205,9351106,Kingsfield Centre,Suffolk,133356,Pupil Referral Unit,6,0,0,4,36.4,,,,,,,,
3057,815,8153057,Husthwaite Church of England Voluntary Controlled Primary School,North Yorkshire,121502,Voluntary Controlled School,5,0,0,1,33.3,,,,,,,,
1009,336,3361009,Bushbury Nursery School,Wolverhampton,104285,LA Nursery School,1,0,0,1,33.3,,,,,,,,
2003,816,8952003,Peover Superior Endowed Primary School,Cheshire East,141653,Academy Sponsor Led,5,0,0,1,33.3,,,,,,,,
2081,312,8862081,Brenzett Church of England Primary School,Kent,143517,Academy Sponsor Led,3,0,0,1,33.3,,,,,,,,
2172,885,9332172,Middlezoy Primary School,Somerset,141795,Academy Converter,7,0,0,1,33.3,,,,,,,,
3134,886,8653134,Newton Tony Church of England Voluntary Controlled School,Wiltshire,126343,Voluntary Controlled School,8,0,0,1,33.3,,,,,,,,
2196,807,8502196,Eling Infant School and Nursery,Hampshire,115955,Community School,3,0,0,1,33.3,,,,,,,,
3251,931,9313251,Uffington Church of England Primary School,Oxfordshire,123170,Voluntary Controlled School,7,0,0,1,33.3,,,,,,,,
3008,336,9193008,Tonwell St Mary's Church of England Primary School,Hertfordshire,117388,Voluntary Controlled School,8,0,0,1,33.3,,,,,,,,
1100,815,3171100,The Constance Bridgeman Centre,Redbridge,102794,Pupil Referral Unit,5,0,0,1,33.3,,,,,,,,
3515,356,8883515,Calder Vale St John Church of England Primary School,Lancashire,119518,Voluntary Aided School,8,0,0,1,33.3,,,,,,,,
3079,860,9353079,Brampton CofE VC Primary School,Suffolk,124724,Voluntary Controlled School,4,0,0,1,33.3,,,,,,,,
3492,860,9293492,Newbrough Church of England Primary School,Northumberland,122298,Voluntary Aided School,7,0,0,1,33.3,,,,,,,,
